id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
23,AT_Hydro_Reservoir,2050,67,69,-0.031455003974671755,0.0,0.0
24,AT_Hydro_Reservoir,2050,70,72,-0.031455003974671755,0.0,0.0
25,AT_Hydro_Reservoir,2050,73,75,-0.031455003974671755,0.0,0.0
26,AT_Hydro_Reservoir,2050,76,78,-0.031455003974671755,0.0,0.0
27,AT_Hydro_Reservoir,2050,79,81,-0.031455003974671755,0.0,0.0
28,AT_Hydro_Reservoir,2050,82,84,-0.031455003974671755,0.0,0.0
29,AT_Hydro_Reservoir,2050,85,87,-0.031455003974671755,0.0,0.0
30,AT_Hydro_Reservoir,2050,88,90,-0.031455003974671755,0.0,0.0
31,AT_Hydro_Reservoir,2050,91,93,-0.031455003974671755,0.0,0.0
32,AT_Hydro_Reservoir,2050,94,96,-0.031455003974671755,0.0,0.0
33,AT_Hydro_Reservoir,2050,97,99,-0.031455003974671755,0.0,0.0
34,AT_Hydro_Reservoir,2050,100,102,-0.031455003974671755,0.0,0.0
35,AT_Hydro_Reservoir,2050,103,105,-0.031455003974671755,0.0,0.0
36,AT_Hydro_Reservoir,2050,106,108,-0.031455003974671755,0.0,0.0
37,AT_Hydro_Reservoir,2050,109,111,-0.031455003974671755,0.0,0.0
38,AT_Hydro_Reservoir,2050,112,114,-0.031455003974671755,0.0,0.0
39,AT_Hydro_Reservoir,2050,115,117,-0.031455003974671755,0.0,0.0
40,AT_Hydro_Reservoir,2050,118,120,-0.031455003974671755,0.0,0.0
41,AT_Hydro_Reservoir,2050,121,123,-0.031455003974671755,0.0,0.0
42,AT_Hydro_Reservoir,2050,124,126,-0.031455003974671755,0.0,0.0
43,AT_Hydro_Reservoir,2050,127,129,-0.031455003974671755,0.0,0.0
44,AT_Hydro_Reservoir,2050,130,132,-0.031455003974671755,0.0,0.0
45,AT_Hydro_Reservoir,2050,133,135,-0.031455003974671755,0.0,0.0
46,AT_Hydro_Reservoir,2050,136,138,-0.031455003974671755,0.0,0.0
47,AT_Hydro_Reservoir,2050,139,141,-0.031455003974671755,0.0,0.0
48,AT_Hydro_Reservoir,2050,142,144,-0.031455003974671755,0.0,0.0
49,AT_Hydro_Reservoir,2050,145,147,-0.031455003974671755,0.0,0.0
50,AT_Hydro_Reservoir,2050,148,150,-0.031455003974671755,0.0,0.0
51,AT_Hydro_Reservoir,2050,151,153,-0.031455003974671755,0.0,0.0
52,AT_Hydro_Reservoir,2050,154,156,-0.031455003974671755,0.0,0.0
53,AT_Hydro_Reservoir,2050,157,159,-0.031455003974671755,0.0,0.0
54,AT_Hydro_Reservoir,2050,160,162,-0.031455003974671755,0.0,0.0
55,AT_Hydro_Reservoir,2050,163,165,-0.031455003974671755,0.0,0.0
56,AT_Hydro_Reservoir,2050,166,168,-0.031455003974671755,0.0,0.0
57,AT_Hydro_Reservoir,2050,169,171,-0.031455003974671755,0.0,0.0
58,AT_Hydro_Reservoir,2050,172,174,-0.031455003974671755,0.0,0.0
59,AT_Hydro_Reservoir,2050,175,177,-0.031455003974671755,0.0,0.0
60,AT_Hydro_Reservoir,2050,178,180,-0.031455003974671755,0.0,0.0
61,AT_Hydro_Reservoir,2050,181,183,-0.031455003974671755,0.0,0.0
62,AT_Hydro_Reservoir,2050,184,186,-0.031455003974671755,0.0,0.0
63,AT_Hydro_Reservoir,2050,187,189,-0.031455003974671755,0.0,0.0
64,AT_Hydro_Reservoir,2050,190,192,-0.031455003974671755,0.0,0.0
65,AT_Hydro_Reservoir,2050,193,195,-0.031455003974671755,0.0,0.0
66,AT_Hydro_Reservoir,2050,196,198,-0.031455003974671755,0.0,0.0
