id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
202,CZ_Battery,2030,1,6,10,0.0
203,CZ_Battery,2030,1,11,15,0.0
204,CZ_Battery,2030,1,16,24,0.0
205,CZ_Battery,2030,2,1,5,0.0
206,CZ_Battery,2030,2,6,10,0.0
207,CZ_Battery,2030,2,11,15,0.0
208,CZ_Battery,2030,2,16,24,0.0
209,CZ_Battery,2030,3,1,5,0.0
210,CZ_Battery,2030,3,6,10,0.0
211,CZ_Battery,2030,3,11,15,0.0
212,CZ_Battery,2030,3,16,24,0.0
213,CZ_Battery,2030,4,1,5,0.0
214,CZ_Battery,2030,4,6,10,0.0
215,CZ_Battery,2030,4,11,15,-2.441208962053266
216,CZ_Battery,2030,4,16,24,0.0
217,CZ_Battery,2030,5,1,5,0.0
218,CZ_Battery,2030,5,6,10,0.0
219,CZ_Battery,2030,5,11,15,0.0
220,CZ_Battery,2030,5,16,24,0.0
221,CZ_Battery,2030,6,1,5,0.0
222,CZ_Battery,2030,6,6,10,0.0
223,CZ_Battery,2030,6,11,15,0.0
224,CZ_Battery,2030,6,16,24,0.0
225,CZ_Battery,2030,7,1,5,0.0
226,CZ_Battery,2030,7,6,10,0.0
227,CZ_Battery,2030,7,11,15,-2.8305000000000002
228,CZ_Battery,2030,7,16,24,0.0
229,CZ_Battery,2030,8,1,5,0.0
230,CZ_Battery,2030,8,6,10,0.0
231,CZ_Battery,2030,8,11,15,0.0
232,CZ_Battery,2030,8,16,24,0.0
233,CZ_Battery,2030,9,1,5,0.0
234,CZ_Battery,2030,9,6,10,0.0
235,CZ_Battery,2030,9,11,15,0.0
236,CZ_Battery,2030,9,16,24,0.0
237,CZ_Battery,2030,10,1,5,0.0
238,CZ_Battery,2030,10,6,10,0.0
239,CZ_Battery,2030,10,11,15,0.0
240,CZ_Battery,2030,10,16,24,0.0
241,DE_Battery,2030,1,1,5,0.0
242,DE_Battery,2030,1,6,10,0.0
243,DE_Battery,2030,1,11,15,0.0
244,DE_Battery,2030,1,16,24,0.0
