asset,initial_storage_level,investable,max_energy_timeframe_partition,milestone_year,min_energy_timeframe_partition,peak_demand,storage_inflows,units_on_cost
FR_Battery,0.0,true,,2050,,,0.0,
FR_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
FR_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
FR_Coal2,0.0,true,,2050,,,0.0,0.0
FR_Nuclear2,0.0,true,,2050,,,0.0,0.0
LU_Solar,0.0,true,,2050,,,0.0,0.0
LU_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
LU_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
LU_Coal,0.0,true,,2050,,,0.0,0.0
LU_Nuclear,0.0,true,,2050,,,0.0,0.0
LU_CCGT,0.0,true,,2050,,,0.0,0.0
LU_OCGT,0.0,true,,2050,,,0.0,0.0
LU_Battery,0.0,true,,2050,,,0.0,
LU_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
LU_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
LU_Coal2,0.0,true,,2050,,,0.0,0.0
LU_Nuclear2,0.0,true,,2050,,,0.0,0.0
CH_Solar,0.0,true,,2050,,,0.0,0.0
CH_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
CH_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
CH_Coal,0.0,true,,2050,,,0.0,0.0
CH_Nuclear,0.0,true,,2050,,,0.0,0.0
CH_CCGT,0.0,true,,2050,,,0.0,0.0
CH_OCGT,0.0,true,,2050,,,0.0,0.0
CH_Battery,0.0,true,,2050,,,0.0,
CH_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
CH_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
CH_Coal2,0.0,true,,2050,,,0.0,0.0
CH_Nuclear2,0.0,true,,2050,,,0.0,0.0
UK_Solar,0.0,true,,2050,,,0.0,0.0
UK_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
UK_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
UK_Coal,0.0,true,,2050,,,0.0,0.0
UK_Nuclear,0.0,true,,2050,,,0.0,0.0
UK_CCGT,0.0,true,,2050,,,0.0,0.0
UK_OCGT,0.0,true,,2050,,,0.0,0.0
UK_Battery,0.0,true,,2050,,,0.0,
UK_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
UK_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
UK_Coal2,0.0,true,,2050,,,0.0,0.0
UK_Nuclear2,0.0,true,,2050,,,0.0,0.0
DK_Solar,0.0,true,,2050,,,0.0,0.0
DK_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
DK_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
DK_Coal,0.0,true,,2050,,,0.0,0.0
DK_Nuclear,0.0,true,,2050,,,0.0,0.0
DK_CCGT,0.0,true,,2050,,,0.0,0.0
DK_OCGT,0.0,true,,2050,,,0.0,0.0
DK_Battery,0.0,true,,2050,,,0.0,
DK_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
DK_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
DK_Coal2,0.0,true,,2050,,,0.0,0.0
DK_Nuclear2,0.0,true,,2050,,,0.0,0.0
NO_Solar,0.0,true,,2050,,,0.0,0.0
NO_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
NO_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
NO_Coal,0.0,true,,2050,,,0.0,0.0
NO_Nuclear,0.0,true,,2050,,,0.0,0.0
NO_CCGT,0.0,true,,2050,,,0.0,0.0
NO_OCGT,0.0,true,,2050,,,0.0,0.0
NO_Battery,0.0,true,,2050,,,0.0,
NO_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
NO_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
NO_Coal2,0.0,true,,2050,,,0.0,0.0
NO_Nuclear2,0.0,true,,2050,,,0.0,0.0
IE_Solar,0.0,true,,2050,,,0.0,0.0
IE_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
IE_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
IE_Coal,0.0,true,,2050,,,0.0,0.0
IE_Nuclear,0.0,true,,2050,,,0.0,0.0
IE_CCGT,0.0,true,,2050,,,0.0,0.0
IE_OCGT,0.0,true,,2050,,,0.0,0.0
IE_Battery,0.0,true,,2050,,,0.0,
IE_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
IE_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
IE_Coal2,0.0,true,,2050,,,0.0,0.0
IE_Nuclear2,0.0,true,,2050,,,0.0,0.0
SE_Solar,0.0,true,,2050,,,0.0,0.0
SE_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
SE_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
SE_Coal,0.0,true,,2050,,,0.0,0.0
SE_Nuclear,0.0,true,,2050,,,0.0,0.0
SE_CCGT,0.0,true,,2050,,,0.0,0.0
SE_OCGT,0.0,true,,2050,,,0.0,0.0
SE_Battery,0.0,true,,2050,,,0.0,
SE_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
SE_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
SE_Coal2,0.0,true,,2050,,,0.0,0.0
SE_Nuclear2,0.0,true,,2050,,,0.0,0.0
AT_Solar,0.0,true,,2050,,,0.0,0.0
AT_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
AT_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
AT_Coal,0.0,true,,2050,,,0.0,0.0
AT_Nuclear,0.0,true,,2050,,,0.0,0.0
AT_CCGT,0.0,true,,2050,,,0.0,0.0
AT_OCGT,0.0,true,,2050,,,0.0,0.0
AT_Battery,0.0,true,,2050,,,0.0,
AT_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
AT_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
AT_Coal2,0.0,true,,2050,,,0.0,0.0
AT_Nuclear2,0.0,true,,2050,,,0.0,0.0
CZ_Solar,0.0,true,,2050,,,0.0,0.0
CZ_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
CZ_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
CZ_Coal,0.0,true,,2050,,,0.0,0.0
CZ_Nuclear,0.0,true,,2050,,,0.0,0.0
CZ_CCGT,0.0,true,,2050,,,0.0,0.0
CZ_OCGT,0.0,true,,2050,,,0.0,0.0
CZ_Battery,0.0,true,,2050,,,0.0,
CZ_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
CZ_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
CZ_Coal2,0.0,true,,2050,,,0.0,0.0
CZ_Nuclear2,0.0,true,,2050,,,0.0,0.0
PL_Solar,0.0,true,,2050,,,0.0,0.0
PL_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
PL_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
PL_Coal,0.0,true,,2050,,,0.0,0.0
PL_Nuclear,0.0,true,,2050,,,0.0,0.0
PL_CCGT,0.0,true,,2050,,,0.0,0.0
PL_OCGT,0.0,true,,2050,,,0.0,0.0
PL_Battery,0.0,true,,2050,,,0.0,
PL_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
PL_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
PL_Coal2,0.0,true,,2050,,,0.0,0.0
PL_Nuclear2,0.0,true,,2050,,,0.0,0.0
ES_Solar,0.0,true,,2050,,,0.0,0.0
ES_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
ES_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
ES_Coal,0.0,true,,2050,,,0.0,0.0
ES_Nuclear,0.0,true,,2050,,,0.0,0.0
ES_CCGT,0.0,true,,2050,,,0.0,0.0
ES_OCGT,0.0,true,,2050,,,0.0,0.0
ES_Battery,0.0,true,,2050,,,0.0,
ES_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
ES_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
ES_Coal2,0.0,true,,2050,,,0.0,0.0
ES_Nuclear2,0.0,true,,2050,,,0.0,0.0
IT_Solar,0.0,true,,2050,,,0.0,0.0
IT_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
IT_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
IT_Coal,0.0,true,,2050,,,0.0,0.0
IT_Nuclear,0.0,true,,2050,,,0.0,0.0
IT_CCGT,0.0,true,,2050,,,0.0,0.0
IT_OCGT,0.0,true,,2050,,,0.0,0.0
IT_Battery,0.0,true,,2050,,,0.0,
IT_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
IT_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
IT_Coal2,0.0,true,,2050,,,0.0,0.0
IT_Nuclear2,0.0,true,,2050,,,0.0,0.0
LT_Solar,0.0,true,,2050,,,0.0,0.0
LT_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
LT_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
LT_Coal,0.0,true,,2050,,,0.0,0.0
LT_Nuclear,0.0,true,,2050,,,0.0,0.0
LT_CCGT,0.0,true,,2050,,,0.0,0.0
LT_OCGT,0.0,true,,2050,,,0.0,0.0
LT_Battery,0.0,true,,2050,,,0.0,
LT_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
LT_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
LT_Coal2,0.0,true,,2050,,,0.0,0.0
LT_Nuclear2,0.0,true,,2050,,,0.0,0.0
FI_Solar,0.0,true,,2050,,,0.0,0.0
FI_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
FI_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
FI_Coal,0.0,true,,2050,,,0.0,0.0
FI_Nuclear,0.0,true,,2050,,,0.0,0.0
FI_CCGT,0.0,true,,2050,,,0.0,0.0
FI_OCGT,0.0,true,,2050,,,0.0,0.0
FI_Battery,0.0,true,,2050,,,0.0,
FI_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
FI_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
FI_Coal2,0.0,true,,2050,,,0.0,0.0
FI_Nuclear2,0.0,true,,2050,,,0.0,0.0
SI_Solar,0.0,true,,2050,,,0.0,0.0
SI_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
SI_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
SI_Coal,0.0,true,,2050,,,0.0,0.0
SI_Nuclear,0.0,true,,2050,,,0.0,0.0
SI_CCGT,0.0,true,,2050,,,0.0,0.0
SI_OCGT,0.0,true,,2050,,,0.0,0.0
SI_Battery,0.0,true,,2050,,,0.0,
SI_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
SI_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
SI_Coal2,0.0,true,,2050,,,0.0,0.0
SI_Nuclear2,0.0,true,,2050,,,0.0,0.0
HU_Solar,0.0,true,,2050,,,0.0,0.0
HU_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
HU_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
HU_Coal,0.0,true,,2050,,,0.0,0.0
HU_Nuclear,0.0,true,,2050,,,0.0,0.0
HU_CCGT,0.0,true,,2050,,,0.0,0.0
HU_OCGT,0.0,true,,2050,,,0.0,0.0
HU_Battery,0.0,true,,2050,,,0.0,
HU_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
HU_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
HU_Coal2,0.0,true,,2050,,,0.0,0.0
HU_Nuclear2,0.0,true,,2050,,,0.0,0.0
SK_Solar,0.0,true,,2050,,,0.0,0.0
SK_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
SK_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
SK_Coal,0.0,true,,2050,,,0.0,0.0
SK_Nuclear,0.0,true,,2050,,,0.0,0.0
SK_CCGT,0.0,true,,2050,,,0.0,0.0
SK_OCGT,0.0,true,,2050,,,0.0,0.0
SK_Battery,0.0,true,,2050,,,0.0,
SK_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
SK_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
SK_Coal2,0.0,true,,2050,,,0.0,0.0
SK_Nuclear2,0.0,true,,2050,,,0.0,0.0
PT_Solar,0.0,true,,2050,,,0.0,0.0
PT_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
PT_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
PT_Coal,0.0,true,,2050,,,0.0,0.0
PT_Nuclear,0.0,true,,2050,,,0.0,0.0
PT_CCGT,0.0,true,,2050,,,0.0,0.0
PT_OCGT,0.0,true,,2050,,,0.0,0.0
PT_Battery,0.0,true,,2050,,,0.0,
PT_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
PT_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
PT_Coal2,0.0,true,,2050,,,0.0,0.0
PT_Nuclear2,0.0,true,,2050,,,0.0,0.0
HR_Solar,0.0,true,,2050,,,0.0,0.0
HR_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
HR_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
HR_Coal,0.0,true,,2050,,,0.0,0.0
HR_Nuclear,0.0,true,,2050,,,0.0,0.0
HR_CCGT,0.0,true,,2050,,,0.0,0.0
HR_OCGT,0.0,true,,2050,,,0.0,0.0
HR_Battery,0.0,true,,2050,,,0.0,
HR_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
HR_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
HR_Coal2,0.0,true,,2050,,,0.0,0.0
HR_Nuclear2,0.0,true,,2050,,,0.0,0.0
RO_Solar,0.0,true,,2050,,,0.0,0.0
RO_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
RO_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
RO_Coal,0.0,true,,2050,,,0.0,0.0
RO_Nuclear,0.0,true,,2050,,,0.0,0.0
RO_CCGT,0.0,true,,2050,,,0.0,0.0
RO_OCGT,0.0,true,,2050,,,0.0,0.0
RO_Battery,0.0,true,,2050,,,0.0,
RO_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
RO_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
RO_Coal2,0.0,true,,2050,,,0.0,0.0
RO_Nuclear2,0.0,true,,2050,,,0.0,0.0
GR_Solar,0.0,true,,2050,,,0.0,0.0
GR_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
GR_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
GR_Coal,0.0,true,,2050,,,0.0,0.0
GR_Nuclear,0.0,true,,2050,,,0.0,0.0
GR_CCGT,0.0,true,,2050,,,0.0,0.0
GR_OCGT,0.0,true,,2050,,,0.0,0.0
GR_Battery,0.0,true,,2050,,,0.0,
GR_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
GR_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
GR_Coal2,0.0,true,,2050,,,0.0,0.0
GR_Nuclear2,0.0,true,,2050,,,0.0,0.0
LV_Solar,0.0,true,,2050,,,0.0,0.0
LV_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
LV_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
LV_Coal,0.0,true,,2050,,,0.0,0.0
LV_Nuclear,0.0,true,,2050,,,0.0,0.0
LV_CCGT,0.0,true,,2050,,,0.0,0.0
LV_OCGT,0.0,true,,2050,,,0.0,0.0
LV_Battery,0.0,true,,2050,,,0.0,
LV_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
LV_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
LV_Coal2,0.0,true,,2050,,,0.0,0.0
LV_Nuclear2,0.0,true,,2050,,,0.0,0.0
EE_Solar,0.0,true,,2050,,,0.0,0.0
EE_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
EE_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
EE_Coal,0.0,true,,2050,,,0.0,0.0
EE_Nuclear,0.0,true,,2050,,,0.0,0.0
EE_CCGT,0.0,true,,2050,,,0.0,0.0
EE_OCGT,0.0,true,,2050,,,0.0,0.0
EE_Battery,0.0,true,,2050,,,0.0,
EE_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
EE_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
EE_Coal2,0.0,true,,2050,,,0.0,0.0
EE_Nuclear2,0.0,true,,2050,,,0.0,0.0
MT_Solar,0.0,true,,2050,,,0.0,0.0
MT_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
MT_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
MT_Coal,0.0,true,,2050,,,0.0,0.0
MT_Nuclear,0.0,true,,2050,,,0.0,0.0
MT_CCGT,0.0,true,,2050,,,0.0,0.0
MT_OCGT,0.0,true,,2050,,,0.0,0.0
MT_Battery,0.0,true,,2050,,,0.0,
MT_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
MT_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
MT_Coal2,0.0,true,,2050,,,0.0,0.0
MT_Nuclear2,0.0,true,,2050,,,0.0,0.0
CY_Solar,0.0,true,,2050,,,0.0,0.0
CY_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
CY_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
CY_Coal,0.0,true,,2050,,,0.0,0.0
CY_Nuclear,0.0,true,,2050,,,0.0,0.0
CY_CCGT,0.0,true,,2050,,,0.0,0.0
CY_OCGT,0.0,true,,2050,,,0.0,0.0
CY_Battery,0.0,true,,2050,,,0.0,
CY_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
CY_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
CY_Coal2,0.0,true,,2050,,,0.0,0.0
CY_Nuclear2,0.0,true,,2050,,,0.0,0.0
BG_Solar,0.0,true,,2050,,,0.0,0.0
BG_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
BG_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
BG_Coal,0.0,true,,2050,,,0.0,0.0
BG_Nuclear,0.0,true,,2050,,,0.0,0.0
BG_CCGT,0.0,true,,2050,,,0.0,0.0
BG_OCGT,0.0,true,,2050,,,0.0,0.0
BG_Battery,0.0,true,,2050,,,0.0,
BG_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
BG_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
BG_Coal2,0.0,true,,2050,,,0.0,0.0
BG_Nuclear2,0.0,true,,2050,,,0.0,0.0
X1_Solar,0.0,true,,2050,,,0.0,0.0
X1_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X1_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X1_Coal,0.0,true,,2050,,,0.0,0.0
X1_Nuclear,0.0,true,,2050,,,0.0,0.0
X1_CCGT,0.0,true,,2050,,,0.0,0.0
X1_OCGT,0.0,true,,2050,,,0.0,0.0
X1_Battery,0.0,true,,2050,,,0.0,
X1_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X1_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X1_Coal2,0.0,true,,2050,,,0.0,0.0
X1_Nuclear2,0.0,true,,2050,,,0.0,0.0
X2_Solar,0.0,true,,2050,,,0.0,0.0
X2_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X2_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X2_Coal,0.0,true,,2050,,,0.0,0.0
X2_Nuclear,0.0,true,,2050,,,0.0,0.0
X2_CCGT,0.0,true,,2050,,,0.0,0.0
X2_OCGT,0.0,true,,2050,,,0.0,0.0
X2_Battery,0.0,true,,2050,,,0.0,
X2_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X2_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X2_Coal2,0.0,true,,2050,,,0.0,0.0
X2_Nuclear2,0.0,true,,2050,,,0.0,0.0
X3_Solar,0.0,true,,2050,,,0.0,0.0
X3_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X3_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X3_Coal,0.0,true,,2050,,,0.0,0.0
X3_Nuclear,0.0,true,,2050,,,0.0,0.0
X3_CCGT,0.0,true,,2050,,,0.0,0.0
X3_OCGT,0.0,true,,2050,,,0.0,0.0
X3_Battery,0.0,true,,2050,,,0.0,
X3_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X3_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X3_Coal2,0.0,true,,2050,,,0.0,0.0
X3_Nuclear2,0.0,true,,2050,,,0.0,0.0
X4_Solar,0.0,true,,2050,,,0.0,0.0
X4_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X4_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X4_Coal,0.0,true,,2050,,,0.0,0.0
X4_Nuclear,0.0,true,,2050,,,0.0,0.0
X4_CCGT,0.0,true,,2050,,,0.0,0.0
X4_OCGT,0.0,true,,2050,,,0.0,0.0
X4_Battery,0.0,true,,2050,,,0.0,
X4_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X4_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X4_Coal2,0.0,true,,2050,,,0.0,0.0
X4_Nuclear2,0.0,true,,2050,,,0.0,0.0
X5_Solar,0.0,true,,2050,,,0.0,0.0
X5_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X5_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X5_Coal,0.0,true,,2050,,,0.0,0.0
X5_Nuclear,0.0,true,,2050,,,0.0,0.0
X5_CCGT,0.0,true,,2050,,,0.0,0.0
X5_OCGT,0.0,true,,2050,,,0.0,0.0
X5_Battery,0.0,true,,2050,,,0.0,
X5_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X5_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X5_Coal2,0.0,true,,2050,,,0.0,0.0
X5_Nuclear2,0.0,true,,2050,,,0.0,0.0
X6_Solar,0.0,true,,2050,,,0.0,0.0
X6_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X6_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X6_Coal,0.0,true,,2050,,,0.0,0.0
X6_Nuclear,0.0,true,,2050,,,0.0,0.0
X6_CCGT,0.0,true,,2050,,,0.0,0.0
X6_OCGT,0.0,true,,2050,,,0.0,0.0
X6_Battery,0.0,true,,2050,,,0.0,
X6_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X6_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X6_Coal2,0.0,true,,2050,,,0.0,0.0
X6_Nuclear2,0.0,true,,2050,,,0.0,0.0
X7_Solar,0.0,true,,2050,,,0.0,0.0
X7_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X7_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X7_Coal,0.0,true,,2050,,,0.0,0.0
X7_Nuclear,0.0,true,,2050,,,0.0,0.0
X7_CCGT,0.0,true,,2050,,,0.0,0.0
X7_OCGT,0.0,true,,2050,,,0.0,0.0
X7_Battery,0.0,true,,2050,,,0.0,
X7_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X7_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X7_Coal2,0.0,true,,2050,,,0.0,0.0
X7_Nuclear2,0.0,true,,2050,,,0.0,0.0
X8_Solar,0.0,true,,2050,,,0.0,0.0
X8_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X8_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X8_Coal,0.0,true,,2050,,,0.0,0.0
X8_Nuclear,0.0,true,,2050,,,0.0,0.0
X8_CCGT,0.0,true,,2050,,,0.0,0.0
X8_OCGT,0.0,true,,2050,,,0.0,0.0
X8_Battery,0.0,true,,2050,,,0.0,
X8_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X8_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X8_Coal2,0.0,true,,2050,,,0.0,0.0
X8_Nuclear2,0.0,true,,2050,,,0.0,0.0
X9_Solar,0.0,true,,2050,,,0.0,0.0
X9_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X9_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X9_Coal,0.0,true,,2050,,,0.0,0.0
X9_Nuclear,0.0,true,,2050,,,0.0,0.0
X9_CCGT,0.0,true,,2050,,,0.0,0.0
X9_OCGT,0.0,true,,2050,,,0.0,0.0
X9_Battery,0.0,true,,2050,,,0.0,
X9_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
X9_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
X9_Coal2,0.0,true,,2050,,,0.0,0.0
X9_Nuclear2,0.0,true,,2050,,,0.0,0.0
X0_Solar,0.0,true,,2050,,,0.0,0.0
X0_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
X0_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
X0_Coal,0.0,true,,2050,,,0.0,0.0
X0_Nuclear,0.0,true,,2050,,,0.0,0.0
