id,asset,year,rep_period,time_block_start,time_block_end,dual_max_ramp_up_with_unit_commitment,dual_max_ramp_down_with_unit_commitment
2869,SK_Gas,2050,3,17,24,0.0,0.0
2870,SK_Gas,2050,4,1,8,-0.0,-0.0
2871,SK_Gas,2050,4,9,16,0.0,0.0
2872,SK_Gas,2050,4,17,24,0.0,0.0
2873,SK_Gas,2050,5,1,8,-0.0,-0.0
2874,SK_Gas,2050,5,9,16,0.0,0.0
2875,SK_Gas,2050,5,17,24,0.0,0.0
2876,SK_Gas,2050,6,1,8,-0.0,-0.0
2877,SK_Gas,2050,6,9,16,0.0,0.0
2878,SK_Gas,2050,6,17,24,0.0,0.0
2879,SK_Gas,2050,7,1,8,-0.0,-0.0
2880,SK_Gas,2050,7,9,16,0.0,0.0
2881,SK_Gas,2050,7,17,24,0.0,0.0
2882,SK_Gas,2050,8,1,8,-0.0,-0.0
2883,SK_Gas,2050,8,9,16,0.0,0.0
2884,SK_Gas,2050,8,17,24,0.0,0.0
2885,SK_Gas,2050,9,1,8,-0.0,-0.0
2886,SK_Gas,2050,9,9,16,0.0,0.0
2887,SK_Gas,2050,9,17,24,0.0,0.0
2888,SK_Gas,2050,10,1,8,-0.0,-0.0
2889,SK_Gas,2050,10,9,16,0.0,0.0
2890,SK_Gas,2050,10,17,24,0.0,0.0
2891,SK_Nuclear,2050,1,1,8,-0.0,-0.0
2892,SK_Nuclear,2050,1,9,16,0.0,0.0
2893,SK_Nuclear,2050,1,17,24,0.0,0.0
2894,SK_Nuclear,2050,2,1,8,-0.0,-0.0
2895,SK_Nuclear,2050,2,9,16,0.0,0.0
2896,SK_Nuclear,2050,2,17,24,0.0,0.0
2897,SK_Nuclear,2050,3,1,8,-0.0,-0.0
2898,SK_Nuclear,2050,3,9,16,0.0,0.0
2899,SK_Nuclear,2050,3,17,24,0.0,0.0
2900,SK_Nuclear,2050,4,1,8,-0.0,-0.0
2901,SK_Nuclear,2050,4,9,16,0.0,0.0
2902,SK_Nuclear,2050,4,17,24,0.0,0.0
2903,SK_Nuclear,2050,5,1,8,-0.0,-0.0
2904,SK_Nuclear,2050,5,9,16,0.0,0.0
2905,SK_Nuclear,2050,5,17,24,0.0,0.0
2906,SK_Nuclear,2050,6,1,8,-0.0,-0.0
2907,SK_Nuclear,2050,6,9,16,0.0,0.0
2908,SK_Nuclear,2050,6,17,24,0.0,0.0
2909,SK_Nuclear,2050,7,1,8,-0.0,-0.0
2910,SK_Nuclear,2050,7,9,16,0.0,0.0
2911,SK_Nuclear,2050,7,17,24,0.0,0.0
2912,SK_Nuclear,2050,8,1,8,-0.0,-0.0
2913,SK_Nuclear,2050,8,9,16,0.0,0.0
2914,SK_Nuclear,2050,8,17,24,0.0,0.0
2915,SK_Nuclear,2050,9,1,8,-0.0,-0.0
2916,SK_Nuclear,2050,9,9,16,0.0,0.0
2917,SK_Nuclear,2050,9,17,24,0.0,0.0
2918,SK_Nuclear,2050,10,1,8,-0.0,-0.0
2919,SK_Nuclear,2050,10,9,16,0.0,0.0
2920,SK_Nuclear,2050,10,17,24,0.0,0.0
2921,UK_Gas,2050,1,1,2,-0.0,-0.0
2922,UK_Gas,2050,1,3,4,0.0,0.0
2923,UK_Gas,2050,1,5,6,0.0,0.0
2924,UK_Gas,2050,1,7,8,0.0,0.0
2925,UK_Gas,2050,1,9,10,0.0,0.0
