asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
DK_OCGT,612.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
UK_E_ENS,118630.2474,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
UK_Wind_Onshore,53918.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
UK_Wind_Offshore,110458.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
UK_Solar,63715.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
UK_Hydro,2513.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
UK_Nuclear,16000.0,0.0,,0.0,1.0,0,,false,false,none,false,0.3,0.3,0.25,true,false,1.0,producer,true,true,basic,
UK_Gas,9505.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
UK_OCGT,1243.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
IE_E_ENS,10172.088,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
IE_Wind_Onshore,11308.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
IE_Wind_Offshore,21057.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
IE_Solar,12113.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
IE_Hydro,215.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
