from_asset,partition,rep_period,specification,to_asset,year
EE_Solar,4,1,uniform,EE_E_Balance,2050
FI_E_Balance,4,1,uniform,FI_E_Demand,2050
FI_E_ENS,4,1,uniform,FI_E_Demand,2050
FI_Wind_Onshore,4,1,uniform,FI_E_Balance,2050
FI_Wind_Offshore,4,1,uniform,FI_E_Balance,2050
FI_Solar,4,1,uniform,FI_E_Balance,2050
FI_Hydro_Reservoir,4,1,uniform,FI_E_Balance,2050
FI_Nuclear,4,1,uniform,FI_E_Balance,2050
FI_E_Balance,4,1,uniform,FI_Battery,2050
FI_Battery,4,1,uniform,FI_E_Balance,2050
FI_Gas,4,1,uniform,FI_E_Balance,2050
FI_OCGT,4,1,uniform,FI_E_Balance,2050
HR_E_Balance,4,1,uniform,HR_E_Demand,2050
HR_E_ENS,4,1,uniform,HR_E_Demand,2050
HR_Wind_Onshore,4,1,uniform,HR_E_Balance,2050
HR_Wind_Offshore,4,1,uniform,HR_E_Balance,2050
HR_Solar,4,1,uniform,HR_E_Balance,2050
HR_Hydro,4,1,uniform,HR_E_Balance,2050
HR_Hydro_Reservoir,4,1,uniform,HR_E_Balance,2050
HR_E_Balance,4,1,uniform,HR_Battery,2050
HR_Battery,4,1,uniform,HR_E_Balance,2050
HR_E_Balance,4,1,uniform,HR_Pump_Hydro_Open,2050
HR_Pump_Hydro_Open,4,1,uniform,HR_E_Balance,2050
HR_Coal,4,1,uniform,HR_E_Balance,2050
HR_Gas,4,1,uniform,HR_E_Balance,2050
GR_E_Balance,4,1,uniform,GR_E_Demand,2050
GR_E_ENS,4,1,uniform,GR_E_Demand,2050
GR_Wind_Onshore,4,1,uniform,GR_E_Balance,2050
GR_Wind_Offshore,4,1,uniform,GR_E_Balance,2050
GR_Solar,4,1,uniform,GR_E_Balance,2050
GR_Hydro,4,1,uniform,GR_E_Balance,2050
GR_Hydro_Reservoir,4,1,uniform,GR_E_Balance,2050
GR_E_Balance,4,1,uniform,GR_Battery,2050
GR_Battery,4,1,uniform,GR_E_Balance,2050
GR_E_Balance,4,1,uniform,GR_Pump_Hydro_Closed,2050
GR_Pump_Hydro_Closed,4,1,uniform,GR_E_Balance,2050
GR_E_Balance,4,1,uniform,GR_Pump_Hydro_Open,2050
GR_Pump_Hydro_Open,4,1,uniform,GR_E_Balance,2050
GR_Gas,4,1,uniform,GR_E_Balance,2050
