asset,partition,rep_period,specification,year
PT_Solar,4,1,uniform,2050
PT_Hydro,4,1,uniform,2050
PT_Gas,4,1,uniform,2050
IT_E_ENS,4,1,uniform,2050
IT_Wind_Onshore,4,1,uniform,2050
IT_Wind_Offshore,4,1,uniform,2050
IT_Solar,4,1,uniform,2050
IT_Hydro,4,1,uniform,2050
IT_Gas,4,1,uniform,2050
IT_OCGT,4,1,uniform,2050
MT_E_ENS,4,1,uniform,2050
MT_Solar,4,1,uniform,2050
MT_Gas,4,1,uniform,2050
SI_E_ENS,4,1,uniform,2050
SI_Wind_Onshore,4,1,uniform,2050
SI_Wind_Offshore,4,1,uniform,2050
SI_Solar,4,1,uniform,2050
SI_Hydro,4,1,uniform,2050
SI_Nuclear,4,1,uniform,2050
SI_Coal,4,1,uniform,2050
SI_Gas,4,1,uniform,2050
SI_OCGT,4,1,uniform,2050
HU_E_ENS,4,1,uniform,2050
HU_Wind_Onshore,4,1,uniform,2050
HU_Solar,4,1,uniform,2050
HU_Hydro,4,1,uniform,2050
HU_Nuclear,4,1,uniform,2050
HU_Gas,4,1,uniform,2050
HU_OCGT,4,1,uniform,2050
SK_E_ENS,4,1,uniform,2050
SK_Wind_Onshore,4,1,uniform,2050
SK_Solar,4,1,uniform,2050
SK_Hydro,4,1,uniform,2050
SK_Nuclear,4,1,uniform,2050
SK_Coal,4,1,uniform,2050
SK_Gas,4,1,uniform,2050
LT_E_ENS,4,1,uniform,2050
LT_Wind_Onshore,4,1,uniform,2050
LT_Wind_Offshore,4,1,uniform,2050
LT_Solar,4,1,uniform,2050
LT_Hydro,4,1,uniform,2050
LT_Gas,4,1,uniform,2050
LV_E_ENS,4,1,uniform,2050
LV_Wind_Onshore,4,1,uniform,2050
LV_Wind_Offshore,4,1,uniform,2050
LV_Solar,4,1,uniform,2050
LV_Hydro,4,1,uniform,2050
LV_Gas,4,1,uniform,2050
EE_E_ENS,4,1,uniform,2050
EE_Wind_Onshore,4,1,uniform,2050
EE_Wind_Offshore,4,1,uniform,2050
EE_Solar,4,1,uniform,2050
FI_E_ENS,4,1,uniform,2050
FI_Wind_Onshore,4,1,uniform,2050
FI_Wind_Offshore,4,1,uniform,2050
FI_Solar,4,1,uniform,2050
FI_Nuclear,4,1,uniform,2050
FI_Gas,4,1,uniform,2050
FI_OCGT,4,1,uniform,2050
HR_E_ENS,4,1,uniform,2050
HR_Wind_Onshore,4,1,uniform,2050
HR_Wind_Offshore,4,1,uniform,2050
HR_Solar,4,1,uniform,2050
HR_Hydro,4,1,uniform,2050
HR_Coal,4,1,uniform,2050
HR_Gas,4,1,uniform,2050
GR_E_ENS,4,1,uniform,2050
GR_Wind_Onshore,4,1,uniform,2050
GR_Wind_Offshore,4,1,uniform,2050
GR_Solar,4,1,uniform,2050
GR_Hydro,4,1,uniform,2050
GR_Gas,4,1,uniform,2050
GR_OCGT,4,1,uniform,2050
BG_E_ENS,4,1,uniform,2050
BG_Wind_Onshore,4,1,uniform,2050
BG_Solar,4,1,uniform,2050
BG_Hydro,4,1,uniform,2050
BG_Nuclear,4,1,uniform,2050
BG_Coal,4,1,uniform,2050
BG_Gas,4,1,uniform,2050
BG_OCGT,4,1,uniform,2050
RO_E_ENS,4,1,uniform,2050
RO_Wind_Onshore,4,1,uniform,2050
RO_Wind_Offshore,4,1,uniform,2050
RO_Solar,4,1,uniform,2050
RO_Hydro,4,1,uniform,2050
RO_Nuclear,4,1,uniform,2050
RO_Coal,4,1,uniform,2050
RO_Gas,4,1,uniform,2050
RO_OCGT,4,1,uniform,2050
CY_E_ENS,4,1,uniform,2050
CY_Wind_Onshore,4,1,uniform,2050
CY_Solar,4,1,uniform,2050
CY_Gas,4,1,uniform,2050
OBZLL_Wind_Offshore,4,1,uniform,2050
EU_SMR_CCS,4,1,uniform,2050
NL_Battery,4,1,uniform,2050
BE_Battery,4,1,uniform,2050
DE_Hydro_Reservoir,4,1,uniform,2050
DE_Battery,4,1,uniform,2050
DE_Pump_Hydro_Closed,4,1,uniform,2050
DE_Pump_Hydro_Open,4,1,uniform,2050
FR_Hydro_Reservoir,4,1,uniform,2050
FR_Pump_Hydro_Closed,4,1,uniform,2050
FR_Pump_Hydro_Open,4,1,uniform,2050
UK_Battery,4,1,uniform,2050
UK_Pump_Hydro_Closed,4,1,uniform,2050
IE_Battery,4,1,uniform,2050
IE_Pump_Hydro_Closed,4,1,uniform,2050
CH_Battery,4,1,uniform,2050
CH_Pump_Hydro_Closed,4,1,uniform,2050
CH_Pump_Hydro_Open,4,1,uniform,2050
AT_Hydro_Reservoir,4,1,uniform,2050
AT_Battery,4,1,uniform,2050
AT_Pump_Hydro_Closed,4,1,uniform,2050
AT_Pump_Hydro_Open,4,1,uniform,2050
LU_Pump_Hydro_Closed,4,1,uniform,2050
CZ_Hydro_Reservoir,4,1,uniform,2050
CZ_Battery,4,1,uniform,2050
CZ_Pump_Hydro_Closed,4,1,uniform,2050
CZ_Pump_Hydro_Open,4,1,uniform,2050
PL_Hydro_Reservoir,4,1,uniform,2050
PL_Pump_Hydro_Closed,4,1,uniform,2050
PL_Pump_Hydro_Open,4,1,uniform,2050
SE_Hydro_Reservoir,4,1,uniform,2050
SE_Battery,4,1,uniform,2050
NO_Pump_Hydro_Open,4,1,uniform,2050
NO_Hydro_Reservoir,4,1,uniform,2050
ES_Hydro_Reservoir,4,1,uniform,2050
ES_Battery,4,1,uniform,2050
ES_Pump_Hydro_Closed,4,1,uniform,2050
ES_Pump_Hydro_Open,4,1,uniform,2050
PT_Hydro_Reservoir,4,1,uniform,2050
PT_Pump_Hydro_Open,4,1,uniform,2050
IT_Hydro_Reservoir,4,1,uniform,2050
IT_Battery,4,1,uniform,2050
IT_Pump_Hydro_Closed,4,1,uniform,2050
IT_Pump_Hydro_Open,4,1,uniform,2050
SI_Battery,4,1,uniform,2050
SI_Pump_Hydro_Closed,4,1,uniform,2050
HU_Battery,4,1,uniform,2050
SK_Hydro_Reservoir,4,1,uniform,2050
SK_Pump_Hydro_Closed,4,1,uniform,2050
SK_Pump_Hydro_Open,4,1,uniform,2050
LT_Battery,4,1,uniform,2050
LT_Pump_Hydro_Closed,4,1,uniform,2050
FI_Hydro_Reservoir,4,1,uniform,2050
FI_Battery,4,1,uniform,2050
HR_Hydro_Reservoir,4,1,uniform,2050
HR_Battery,4,1,uniform,2050
HR_Pump_Hydro_Open,4,1,uniform,2050
GR_Hydro_Reservoir,4,1,uniform,2050
GR_Battery,4,1,uniform,2050
GR_Pump_Hydro_Closed,4,1,uniform,2050
GR_Pump_Hydro_Open,4,1,uniform,2050
BG_Hydro_Reservoir,4,1,uniform,2050
BG_Pump_Hydro_Closed,4,1,uniform,2050
BG_Pump_Hydro_Open,4,1,uniform,2050
RO_Hydro_Reservoir,4,1,uniform,2050
RO_Battery,4,1,uniform,2050
RO_Pump_Hydro_Open,4,1,uniform,2050
CY_Battery,4,1,uniform,2050
DK_Battery,4,1,uniform,2050
BG_Battery,4,1,uniform,2050
FR_Battery,4,1,uniform,2050
LV_Battery,4,1,uniform,2050
PT_Battery,4,1,uniform,2050
SK_Battery,4,1,uniform,2050
NL_E_Demand,4,2,uniform,2050
BE_E_Demand,4,2,uniform,2050
DE_E_Demand,4,2,uniform,2050
FR_E_Demand,4,2,uniform,2050
DK_E_Demand,4,2,uniform,2050
UK_E_Demand,4,2,uniform,2050
IE_E_Demand,4,2,uniform,2050
CH_E_Demand,4,2,uniform,2050
AT_E_Demand,4,2,uniform,2050
LU_E_Demand,4,2,uniform,2050
CZ_E_Demand,4,2,uniform,2050
PL_E_Demand,4,2,uniform,2050
SE_E_Demand,4,2,uniform,2050
NO_E_Demand,4,2,uniform,2050
ES_E_Demand,4,2,uniform,2050
PT_E_Demand,4,2,uniform,2050
IT_E_Demand,4,2,uniform,2050
MT_E_Demand,4,2,uniform,2050
SI_E_Demand,4,2,uniform,2050
HU_E_Demand,4,2,uniform,2050
SK_E_Demand,4,2,uniform,2050
LT_E_Demand,4,2,uniform,2050
LV_E_Demand,4,2,uniform,2050
EE_E_Demand,4,2,uniform,2050
FI_E_Demand,4,2,uniform,2050
HR_E_Demand,4,2,uniform,2050
GR_E_Demand,4,2,uniform,2050
BG_E_Demand,4,2,uniform,2050
RO_E_Demand,4,2,uniform,2050
CY_E_Demand,4,2,uniform,2050
OBZLL_E_Demand,4,2,uniform,2050
NL_H_Demand,4,2,uniform,2050
BE_H_Demand,4,2,uniform,2050
DE_H_Demand,4,2,uniform,2050
FR_H_Demand,4,2,uniform,2050
DK_H_Demand,4,2,uniform,2050
UK_H_Demand,4,2,uniform,2050
