asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory
IE_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
IE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
IE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
IE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
IE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
IE_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
SE_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SE_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SE_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
SE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
SE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
SE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
SE_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
AT_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
AT_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
AT_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
AT_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
AT_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
AT_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
AT_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
AT_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
CZ_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
CZ_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
CZ_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
CZ_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
CZ_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
CZ_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
CZ_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
CZ_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
PL_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
PL_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
PL_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
PL_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
PL_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
PL_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
PL_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
PL_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
ES_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
ES_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
ES_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
ES_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
ES_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
ES_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
ES_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
ES_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
IT_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
IT_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
IT_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
IT_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
IT_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
IT_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
IT_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
IT_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
LT_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
LT_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
LT_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
LT_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
LT_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
LT_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
LT_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
LT_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
FI_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
FI_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
FI_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
FI_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
FI_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
FI_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
FI_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
FI_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
SI_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SI_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SI_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SI_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
SI_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
SI_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
SI_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
SI_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
HU_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
HU_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
HU_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
HU_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
HU_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
HU_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
HU_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
HU_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
SK_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SK_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SK_Wind_Offshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
SK_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
SK_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
SK_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
SK_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
SK_Battery,100,10.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
PT_Solar,18,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
PT_Wind_Onshore,49,,,0.05,100.0,0.0,,false,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,basic,,,,,
