id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
191,BG_Nuclear,2050,8,13,18,0.0
192,BG_Nuclear,2050,8,19,24,0.0
193,BG_Nuclear,2050,9,1,6,0.0
194,BG_Nuclear,2050,9,7,12,0.0
195,BG_Nuclear,2050,9,13,18,0.0
196,BG_Nuclear,2050,9,19,24,0.0
197,BG_Nuclear,2050,10,1,6,0.0
198,BG_Nuclear,2050,10,7,12,0.0
199,BG_Nuclear,2050,10,13,18,0.0
200,BG_Nuclear,2050,10,19,24,0.0
201,BG_OCGT,2050,1,1,6,0.0
202,BG_OCGT,2050,1,7,12,0.0
203,BG_OCGT,2050,1,13,18,0.0
204,BG_OCGT,2050,1,19,24,0.0
205,BG_OCGT,2050,2,1,6,0.0
206,BG_OCGT,2050,2,7,12,0.0
207,BG_OCGT,2050,2,13,18,0.0
208,BG_OCGT,2050,2,19,24,0.0
209,BG_OCGT,2050,3,1,6,0.0
210,BG_OCGT,2050,3,7,12,0.0
211,BG_OCGT,2050,3,13,18,0.0
212,BG_OCGT,2050,3,19,24,0.0
213,BG_OCGT,2050,4,1,6,0.0
214,BG_OCGT,2050,4,7,12,0.0
215,BG_OCGT,2050,4,13,18,0.0
216,BG_OCGT,2050,4,19,24,0.0
217,BG_OCGT,2050,5,1,6,0.0
218,BG_OCGT,2050,5,7,12,0.0
219,BG_OCGT,2050,5,13,18,0.0
220,BG_OCGT,2050,5,19,24,0.0
221,BG_OCGT,2050,6,1,6,0.0
222,BG_OCGT,2050,6,7,12,0.0
223,BG_OCGT,2050,6,13,18,0.0
224,BG_OCGT,2050,6,19,24,0.0
225,BG_OCGT,2050,7,1,6,0.0
226,BG_OCGT,2050,7,7,12,0.0
227,BG_OCGT,2050,7,13,18,0.0
228,BG_OCGT,2050,7,19,24,0.0
229,BG_OCGT,2050,8,1,6,0.0
230,BG_OCGT,2050,8,7,12,0.0
231,BG_OCGT,2050,8,13,18,0.0
232,BG_OCGT,2050,8,19,24,0.0
233,BG_OCGT,2050,9,1,6,0.0
234,BG_OCGT,2050,9,7,12,0.0
235,BG_OCGT,2050,9,13,18,0.0
236,BG_OCGT,2050,9,19,24,0.0
237,BG_OCGT,2050,10,1,6,0.0
238,BG_OCGT,2050,10,7,12,0.0
239,BG_OCGT,2050,10,13,18,0.0
240,BG_OCGT,2050,10,19,24,0.0
241,CH_Nuclear,2050,1,1,6,0.0
242,CH_Nuclear,2050,1,7,12,0.0
243,CH_Nuclear,2050,1,13,18,0.0
244,CH_Nuclear,2050,1,19,24,0.0
245,CH_Nuclear,2050,2,1,6,0.0
246,CH_Nuclear,2050,2,7,12,0.0
247,CH_Nuclear,2050,2,13,18,0.0
248,CH_Nuclear,2050,2,19,24,0.0
249,CH_Nuclear,2050,3,1,6,0.0
250,CH_Nuclear,2050,3,7,12,0.0
251,CH_Nuclear,2050,3,13,18,0.0
252,CH_Nuclear,2050,3,19,24,0.0
253,CH_Nuclear,2050,4,1,6,0.0
254,CH_Nuclear,2050,4,7,12,0.0
255,CH_Nuclear,2050,4,13,18,0.0
256,CH_Nuclear,2050,4,19,24,0.0
257,CH_Nuclear,2050,5,1,6,0.0
258,CH_Nuclear,2050,5,7,12,0.0
259,CH_Nuclear,2050,5,13,18,0.0
260,CH_Nuclear,2050,5,19,24,0.0
261,CH_Nuclear,2050,6,1,6,0.0
262,CH_Nuclear,2050,6,7,12,0.0
263,CH_Nuclear,2050,6,13,18,0.0
264,CH_Nuclear,2050,6,19,24,0.0
265,CH_Nuclear,2050,7,1,6,0.0
266,CH_Nuclear,2050,7,7,12,0.0
267,CH_Nuclear,2050,7,13,18,0.0
268,CH_Nuclear,2050,7,19,24,0.0
269,CH_Nuclear,2050,8,1,6,0.0
270,CH_Nuclear,2050,8,7,12,0.0
271,CH_Nuclear,2050,8,13,18,0.0
272,CH_Nuclear,2050,8,19,24,0.0
273,CH_Nuclear,2050,9,1,6,0.0
274,CH_Nuclear,2050,9,7,12,0.0
275,CH_Nuclear,2050,9,13,18,0.0
276,CH_Nuclear,2050,9,19,24,0.0
277,CH_Nuclear,2050,10,1,6,0.0
278,CH_Nuclear,2050,10,7,12,0.0
279,CH_Nuclear,2050,10,13,18,0.0
280,CH_Nuclear,2050,10,19,24,0.0
281,BE_Gas,2050,1,1,6,0.0
282,BE_Gas,2050,1,7,12,0.0
283,BE_Gas,2050,1,13,18,0.0
284,BE_Gas,2050,1,19,24,0.0
285,BE_Gas,2050,2,1,6,0.0
286,BE_Gas,2050,2,7,12,0.0
287,BE_Gas,2050,2,13,18,0.0
288,BE_Gas,2050,2,19,24,0.0
289,BE_Gas,2050,3,1,6,0.0
290,BE_Gas,2050,3,7,12,0.0
291,BE_Gas,2050,3,13,18,0.0
292,BE_Gas,2050,3,19,24,0.0
293,BE_Gas,2050,4,1,6,0.0
294,BE_Gas,2050,4,7,12,0.0
295,BE_Gas,2050,4,13,18,0.0
296,BE_Gas,2050,4,19,24,0.0
297,BE_Gas,2050,5,1,6,0.0
298,BE_Gas,2050,5,7,12,0.0
299,BE_Gas,2050,5,13,18,0.0
300,BE_Gas,2050,5,19,24,0.0
301,BE_Gas,2050,6,1,6,0.0
302,BE_Gas,2050,6,7,12,0.0
303,BE_Gas,2050,6,13,18,0.0
304,BE_Gas,2050,6,19,24,0.0
305,BE_Gas,2050,7,1,6,0.0
306,BE_Gas,2050,7,7,12,0.0
307,BE_Gas,2050,7,13,18,0.0
308,BE_Gas,2050,7,19,24,0.0
309,BE_Gas,2050,8,1,6,0.0
310,BE_Gas,2050,8,7,12,0.0
311,BE_Gas,2050,8,13,18,0.0
312,BE_Gas,2050,8,19,24,0.0
313,BE_Gas,2050,9,1,6,0.0
314,BE_Gas,2050,9,7,12,0.0
315,BE_Gas,2050,9,13,18,0.0
316,BE_Gas,2050,9,19,24,0.0
317,BE_Gas,2050,10,1,6,0.0
318,BE_Gas,2050,10,7,12,0.0
319,BE_Gas,2050,10,13,18,0.0
320,BE_Gas,2050,10,19,24,0.0
321,CY_Gas,2050,1,1,6,0.0
322,CY_Gas,2050,1,7,12,0.0
323,CY_Gas,2050,1,13,18,0.0
324,CY_Gas,2050,1,19,24,0.0
325,CY_Gas,2050,2,1,6,0.0
326,CY_Gas,2050,2,7,12,0.0
327,CY_Gas,2050,2,13,18,0.0
328,CY_Gas,2050,2,19,24,0.0
329,CY_Gas,2050,3,1,6,0.0
330,CY_Gas,2050,3,7,12,0.0
331,CY_Gas,2050,3,13,18,0.0
332,CY_Gas,2050,3,19,24,0.0
333,CY_Gas,2050,4,1,6,0.0
334,CY_Gas,2050,4,7,12,0.0
335,CY_Gas,2050,4,13,18,0.0
336,CY_Gas,2050,4,19,24,0.0
337,CY_Gas,2050,5,1,6,0.0
338,CY_Gas,2050,5,7,12,0.0
339,CY_Gas,2050,5,13,18,0.0
340,CY_Gas,2050,5,19,24,0.0
341,CY_Gas,2050,6,1,6,0.0
342,CY_Gas,2050,6,7,12,0.0
343,CY_Gas,2050,6,13,18,0.0
344,CY_Gas,2050,6,19,24,0.0
345,CY_Gas,2050,7,1,6,0.0
346,CY_Gas,2050,7,7,12,0.0
347,CY_Gas,2050,7,13,18,0.0
348,CY_Gas,2050,7,19,24,0.0
349,CY_Gas,2050,8,1,6,0.0
350,CY_Gas,2050,8,7,12,0.0
351,CY_Gas,2050,8,13,18,0.0
352,CY_Gas,2050,8,19,24,0.0
353,CY_Gas,2050,9,1,6,0.0
354,CY_Gas,2050,9,7,12,0.0
355,CY_Gas,2050,9,13,18,0.0
356,CY_Gas,2050,9,19,24,0.0
357,CY_Gas,2050,10,1,6,0.0
358,CY_Gas,2050,10,7,12,0.0
359,CY_Gas,2050,10,13,18,0.0
360,CY_Gas,2050,10,19,24,0.0
361,CZ_Coal,2050,1,1,6,0.0
362,CZ_Coal,2050,1,7,12,0.0
363,CZ_Coal,2050,1,13,18,0.0
364,CZ_Coal,2050,1,19,24,0.0
365,CZ_Coal,2050,2,1,6,0.0
366,CZ_Coal,2050,2,7,12,0.0
367,CZ_Coal,2050,2,13,18,0.0
368,CZ_Coal,2050,2,19,24,0.0
369,CZ_Coal,2050,3,1,6,0.0
370,CZ_Coal,2050,3,7,12,0.0
371,CZ_Coal,2050,3,13,18,0.0
372,CZ_Coal,2050,3,19,24,0.0
373,CZ_Coal,2050,4,1,6,0.0
374,CZ_Coal,2050,4,7,12,0.0
375,CZ_Coal,2050,4,13,18,0.0
376,CZ_Coal,2050,4,19,24,0.0
377,CZ_Coal,2050,5,1,6,0.0
378,CZ_Coal,2050,5,7,12,0.0
379,CZ_Coal,2050,5,13,18,0.0
380,CZ_Coal,2050,5,19,24,0.0
381,CZ_Coal,2050,6,1,6,0.0
382,CZ_Coal,2050,6,7,12,0.0
383,CZ_Coal,2050,6,13,18,0.0
384,CZ_Coal,2050,6,19,24,0.0
385,CZ_Coal,2050,7,1,6,0.0
386,CZ_Coal,2050,7,7,12,0.0
387,CZ_Coal,2050,7,13,18,0.0
388,CZ_Coal,2050,7,19,24,0.0
389,CZ_Coal,2050,8,1,6,0.0
390,CZ_Coal,2050,8,7,12,0.0
391,CZ_Coal,2050,8,13,18,0.0
392,CZ_Coal,2050,8,19,24,0.0
393,CZ_Coal,2050,9,1,6,0.0
394,CZ_Coal,2050,9,7,12,0.0
395,CZ_Coal,2050,9,13,18,0.0
396,CZ_Coal,2050,9,19,24,0.0
397,CZ_Coal,2050,10,1,6,0.0
398,CZ_Coal,2050,10,7,12,0.0
399,CZ_Coal,2050,10,13,18,0.0
400,CZ_Coal,2050,10,19,24,0.0
401,CZ_Gas,2050,1,1,6,0.0
402,CZ_Gas,2050,1,7,12,0.0
403,CZ_Gas,2050,1,13,18,0.0
404,CZ_Gas,2050,1,19,24,0.0
405,CZ_Gas,2050,2,1,6,0.0
406,CZ_Gas,2050,2,7,12,0.0
407,CZ_Gas,2050,2,13,18,0.0
408,CZ_Gas,2050,2,19,24,0.0
409,CZ_Gas,2050,3,1,6,0.0
410,CZ_Gas,2050,3,7,12,0.0
411,CZ_Gas,2050,3,13,18,0.0
412,CZ_Gas,2050,3,19,24,0.0
413,CZ_Gas,2050,4,1,6,0.0
414,CZ_Gas,2050,4,7,12,0.0
415,CZ_Gas,2050,4,13,18,0.0
416,CZ_Gas,2050,4,19,24,0.0
417,CZ_Gas,2050,5,1,6,0.0
418,CZ_Gas,2050,5,7,12,0.0
419,CZ_Gas,2050,5,13,18,0.0
420,CZ_Gas,2050,5,19,24,0.0
421,CZ_Gas,2050,6,1,6,0.0
422,CZ_Gas,2050,6,7,12,0.0
423,CZ_Gas,2050,6,13,18,0.0
424,CZ_Gas,2050,6,19,24,0.0
425,CZ_Gas,2050,7,1,6,0.0
426,CZ_Gas,2050,7,7,12,0.0
427,CZ_Gas,2050,7,13,18,0.0
428,CZ_Gas,2050,7,19,24,0.0
429,CZ_Gas,2050,8,1,6,0.0
430,CZ_Gas,2050,8,7,12,0.0
431,CZ_Gas,2050,8,13,18,0.0
432,CZ_Gas,2050,8,19,24,0.0
433,CZ_Gas,2050,9,1,6,0.0
434,CZ_Gas,2050,9,7,12,0.0
435,CZ_Gas,2050,9,13,18,0.0
436,CZ_Gas,2050,9,19,24,0.0
437,CZ_Gas,2050,10,1,6,0.0
438,CZ_Gas,2050,10,7,12,0.0
439,CZ_Gas,2050,10,13,18,0.0
440,CZ_Gas,2050,10,19,24,0.0
441,CZ_Nuclear,2050,1,1,6,0.0
442,CZ_Nuclear,2050,1,7,12,0.0
443,CZ_Nuclear,2050,1,13,18,0.0
444,CZ_Nuclear,2050,1,19,24,0.0
445,CZ_Nuclear,2050,2,1,6,0.0
446,CZ_Nuclear,2050,2,7,12,0.0
447,CZ_Nuclear,2050,2,13,18,0.0
448,CZ_Nuclear,2050,2,19,24,0.0
449,CZ_Nuclear,2050,3,1,6,0.0
450,CZ_Nuclear,2050,3,7,12,0.0
451,CZ_Nuclear,2050,3,13,18,0.0
452,CZ_Nuclear,2050,3,19,24,0.0
453,CZ_Nuclear,2050,4,1,6,0.0
454,CZ_Nuclear,2050,4,7,12,0.0
