asset,commission_year,fixed_cost,fixed_cost_storage_energy,investment_cost,investment_cost_storage_energy,investment_limit,investment_limit_storage_energy,storage_loss_from_stored_energy
FI_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
FI_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
FI_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
FI_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
SI_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
SI_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
SI_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
SI_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
SI_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
SI_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
SI_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
SI_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
SI_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
SI_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
SI_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
SI_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
HU_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
HU_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
HU_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
HU_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
HU_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
HU_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
HU_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
HU_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
HU_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
HU_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
HU_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
HU_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
SK_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
SK_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
SK_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
SK_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
SK_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
SK_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
SK_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
SK_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
SK_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
SK_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
SK_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
SK_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
PT_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
PT_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
PT_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
PT_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
PT_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
PT_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
PT_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
PT_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
PT_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
PT_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
PT_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
PT_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
HR_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
HR_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
HR_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
HR_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
HR_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
HR_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
HR_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
HR_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
HR_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
HR_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
HR_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
HR_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
RO_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
RO_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
RO_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
RO_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
RO_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
RO_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
RO_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
RO_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
RO_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
RO_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
RO_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
RO_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
GR_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
GR_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
GR_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
GR_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
GR_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
GR_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
GR_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
GR_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
GR_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
GR_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
GR_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
GR_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
LV_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
LV_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
LV_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
LV_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
LV_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
LV_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
LV_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
LV_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
LV_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
LV_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
LV_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
LV_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
EE_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
EE_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
EE_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
EE_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
EE_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
EE_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
EE_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
EE_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
EE_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
EE_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
EE_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
EE_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
MT_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
MT_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
MT_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
MT_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
MT_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
MT_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
MT_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
MT_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
MT_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
MT_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
MT_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
MT_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
CY_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
CY_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
CY_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
CY_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
CY_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
CY_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
CY_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
CY_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
CY_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
CY_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
CY_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
CY_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
BG_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
BG_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
BG_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
BG_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
BG_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
BG_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
BG_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
BG_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
BG_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
BG_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
BG_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
BG_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
X1_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
X1_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
X1_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
X1_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
X1_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
X1_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
X1_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
X1_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
X1_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
X1_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
X1_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
X1_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
X2_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
X2_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
X2_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
X2_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
X2_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
X2_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
X2_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
X2_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
X2_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
X2_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
X2_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
X2_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
X3_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
X3_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
X3_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
X3_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
X3_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
X3_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
X3_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
X3_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
