id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
106,AT_Pump_Hydro_Closed,2050,57,60,0.0056720509682205164,0.0,0.0
107,AT_Pump_Hydro_Closed,2050,61,64,0.0056720509682205164,0.0,0.0
108,AT_Pump_Hydro_Closed,2050,65,68,0.0056720509682205164,0.0,0.0
109,AT_Pump_Hydro_Closed,2050,69,72,0.0056720509682205164,0.0,0.0
110,AT_Pump_Hydro_Closed,2050,73,76,0.0056720509682205164,0.0,0.0
111,AT_Pump_Hydro_Closed,2050,77,80,0.0056720509682205164,0.0,0.0
112,AT_Pump_Hydro_Closed,2050,81,84,0.10909111167491305,0.0,0.0
113,AT_Pump_Hydro_Closed,2050,85,88,0.10909111167491305,0.0,0.0
114,AT_Pump_Hydro_Closed,2050,89,92,0.10909111167491305,0.0,0.0
115,AT_Pump_Hydro_Closed,2050,93,96,0.10909111167491305,-0.2515136167873239,0.0
116,AT_Pump_Hydro_Closed,2050,97,100,-0.1424225051124109,0.0,0.0
117,AT_Pump_Hydro_Closed,2050,101,104,-0.1424225051124109,0.0,0.0
118,AT_Pump_Hydro_Closed,2050,105,108,-0.1424225051124109,0.0,0.0
119,AT_Pump_Hydro_Closed,2050,109,112,-0.1424225051124109,0.0,0.0
120,AT_Pump_Hydro_Closed,2050,113,116,-0.1424225051124109,0.0,0.0
121,AT_Pump_Hydro_Closed,2050,117,120,0.013127432739883926,0.0,0.0
122,AT_Pump_Hydro_Closed,2050,121,124,0.013127432739883926,0.0,0.0
123,AT_Pump_Hydro_Closed,2050,125,128,0.013127432739883926,0.0,0.0
124,AT_Pump_Hydro_Closed,2050,129,132,0.013127432739883926,0.0,0.0
125,AT_Pump_Hydro_Closed,2050,133,136,0.013127432739883926,0.0,0.0
126,AT_Pump_Hydro_Closed,2050,137,140,0.013127432739883926,0.0,0.0
127,AT_Pump_Hydro_Closed,2050,141,144,0.013127432739883926,0.0,0.0
128,AT_Pump_Hydro_Closed,2050,145,148,0.013127432739883926,-0.0313038780720309,0.0
129,AT_Pump_Hydro_Closed,2050,149,152,-0.018176445332146976,0.0,0.0
130,AT_Pump_Hydro_Closed,2050,153,156,-0.018176445332146976,0.0,0.0
131,AT_Pump_Hydro_Closed,2050,157,160,-0.018176445332146976,0.0,0.0
132,AT_Pump_Hydro_Closed,2050,161,164,-0.018176445332146976,0.0,0.0
133,AT_Pump_Hydro_Closed,2050,165,168,-0.018176445332146976,-0.09354731776762093,0.0
134,AT_Pump_Hydro_Closed,2050,169,172,-0.1117237630997679,0.0,0.0
135,AT_Pump_Hydro_Closed,2050,173,176,-0.1117237630997679,0.0,0.0
136,AT_Pump_Hydro_Closed,2050,177,180,-0.1117237630997679,0.0,0.0
137,AT_Pump_Hydro_Closed,2050,181,184,-0.1117237630997679,0.0,0.0
138,AT_Pump_Hydro_Closed,2050,185,188,-0.1117237630997679,0.0,0.0
139,AT_Pump_Hydro_Closed,2050,189,192,-0.1117237630997679,0.0,0.0
140,AT_Pump_Hydro_Closed,2050,193,196,-0.1117237630997679,0.0,0.0
141,AT_Pump_Hydro_Closed,2050,197,200,-0.1117237630997679,0.0,0.0
142,AT_Pump_Hydro_Closed,2050,201,204,-0.1117237630997679,0.0,0.0
143,AT_Pump_Hydro_Closed,2050,205,208,-0.1117237630997679,0.0,0.0
144,AT_Pump_Hydro_Closed,2050,209,212,-0.1117237630997679,0.0,0.0
