id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
755,GR_electrolyzer,2050,6,17,20,0.3364828864144279
756,GR_electrolyzer,2050,6,21,24,0.43948785164333437
757,GR_electrolyzer,2050,7,1,4,0.8072266221850133
758,GR_electrolyzer,2050,7,5,8,0.8072266221850133
759,GR_electrolyzer,2050,7,9,12,-0.0
760,GR_electrolyzer,2050,7,13,16,-0.0
761,GR_electrolyzer,2050,7,17,20,0.8072266221850145
762,GR_electrolyzer,2050,7,21,24,0.8072266221850145
763,GR_electrolyzer,2050,8,1,4,1.0075000000000003
764,GR_electrolyzer,2050,8,5,8,0.7713671875000001
765,GR_electrolyzer,2050,8,9,12,-0.0
766,GR_electrolyzer,2050,8,13,16,-0.0
767,GR_electrolyzer,2050,8,17,20,0.7713671875000003
768,GR_electrolyzer,2050,8,21,24,1.0075000000000003
769,GR_electrolyzer,2050,9,1,4,1.3975
770,GR_electrolyzer,2050,9,5,8,1.3975000000000002
771,GR_electrolyzer,2050,9,9,12,-0.0
772,GR_electrolyzer,2050,9,13,16,-0.0
773,GR_electrolyzer,2050,9,17,20,1.3975
774,GR_electrolyzer,2050,9,21,24,1.3975
775,GR_electrolyzer,2050,10,1,4,1.4950000000000003
776,GR_electrolyzer,2050,10,5,8,1.4950000000000003
777,GR_electrolyzer,2050,10,9,12,-0.0
778,GR_electrolyzer,2050,10,13,16,-0.0
779,GR_electrolyzer,2050,10,17,20,1.4950000000000003
780,GR_electrolyzer,2050,10,21,24,1.4950000000000003
781,HR_electrolyzer,2050,1,1,4,1.7225000000000004
782,HR_electrolyzer,2050,1,5,8,1.7225000000000004
783,HR_electrolyzer,2050,1,9,12,-0.0
784,HR_electrolyzer,2050,1,13,16,-0.0
785,HR_electrolyzer,2050,1,17,20,1.7225000000000001
786,HR_electrolyzer,2050,1,21,24,1.7225000000000006
787,HR_electrolyzer,2050,2,1,4,-0.0
788,HR_electrolyzer,2050,2,5,8,-0.0
789,HR_electrolyzer,2050,2,9,12,-0.0
790,HR_electrolyzer,2050,2,13,16,-0.0
791,HR_electrolyzer,2050,2,17,20,-0.0
792,HR_electrolyzer,2050,2,21,24,-0.0
793,HR_electrolyzer,2050,3,1,4,0.9425000000000002
794,HR_electrolyzer,2050,3,5,8,0.9425000000000002
795,HR_electrolyzer,2050,3,9,12,0.7216015625000004
796,HR_electrolyzer,2050,3,13,16,0.3335
797,HR_electrolyzer,2050,3,17,20,0.9425000000000002
798,HR_electrolyzer,2050,3,21,24,0.9425000000000002
799,HR_electrolyzer,2050,4,1,4,0.7475000000000003
800,HR_electrolyzer,2050,4,5,8,0.7475000000000003
801,HR_electrolyzer,2050,4,9,12,-0.0
802,HR_electrolyzer,2050,4,13,16,-0.0
803,HR_electrolyzer,2050,4,17,20,0.7475000000000003
804,HR_electrolyzer,2050,4,21,24,0.7475000000000003
805,HR_electrolyzer,2050,5,1,4,1.657500000000001
806,HR_electrolyzer,2050,5,5,8,1.657500000000001
807,HR_electrolyzer,2050,5,9,12,-0.0
808,HR_electrolyzer,2050,5,13,16,-0.0
809,HR_electrolyzer,2050,5,17,20,1.6575000000000004
810,HR_electrolyzer,2050,5,21,24,1.657500000000001
811,HR_electrolyzer,2050,6,1,4,0.4394878516433343
812,HR_electrolyzer,2050,6,5,8,0.4394878516433343
813,HR_electrolyzer,2050,6,9,12,-0.0
814,HR_electrolyzer,2050,6,13,16,-0.0
815,HR_electrolyzer,2050,6,17,20,0.12948246582640993
816,HR_electrolyzer,2050,6,21,24,0.207
817,HR_electrolyzer,2050,7,1,4,1.2025000000000001
818,HR_electrolyzer,2050,7,5,8,1.2025000000000001
819,HR_electrolyzer,2050,7,9,12,-0.0
820,HR_electrolyzer,2050,7,13,16,-0.0
821,HR_electrolyzer,2050,7,17,20,1.2025000000000001
822,HR_electrolyzer,2050,7,21,24,1.2025000000000001
823,HR_electrolyzer,2050,8,1,4,1.0075000000000003
824,HR_electrolyzer,2050,8,5,8,0.7713671875000001
825,HR_electrolyzer,2050,8,9,12,-0.0
826,HR_electrolyzer,2050,8,13,16,-0.0
827,HR_electrolyzer,2050,8,17,20,0.5312759421786274
828,HR_electrolyzer,2050,8,21,24,1.0075000000000003
829,HR_electrolyzer,2050,9,1,4,1.3975
830,HR_electrolyzer,2050,9,5,8,1.3975000000000002
831,HR_electrolyzer,2050,9,9,12,-0.0
832,HR_electrolyzer,2050,9,13,16,-0.0
833,HR_electrolyzer,2050,9,17,20,1.3975
834,HR_electrolyzer,2050,9,21,24,1.3975
835,HR_electrolyzer,2050,10,1,4,1.4950000000000003
836,HR_electrolyzer,2050,10,5,8,1.4950000000000003
837,HR_electrolyzer,2050,10,9,12,1.1446093750000004
838,HR_electrolyzer,2050,10,13,16,0.529
839,HR_electrolyzer,2050,10,17,20,1.4950000000000006
840,HR_electrolyzer,2050,10,21,24,1.4949999999999994
841,HU_electrolyzer,2050,1,1,4,1.7225000000000004
842,HU_electrolyzer,2050,1,5,8,1.7225000000000004
843,HU_electrolyzer,2050,1,9,12,-0.0
844,HU_electrolyzer,2050,1,13,16,-0.0
845,HU_electrolyzer,2050,1,17,20,1.7225000000000001
846,HU_electrolyzer,2050,1,21,24,1.7225000000000004
847,HU_electrolyzer,2050,2,1,4,1.0725000000000002
848,HU_electrolyzer,2050,2,5,8,0.8211328125000003
849,HU_electrolyzer,2050,2,9,12,-0.0
850,HU_electrolyzer,2050,2,13,16,-0.0
851,HU_electrolyzer,2050,2,17,20,1.0725000000000002
