id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
10181,PL_Nuclear,2050,1,3,4,2,0.0
10182,PL_Nuclear,2050,1,5,6,3,0.0
10183,PL_Nuclear,2050,1,7,8,4,0.0
10184,PL_Nuclear,2050,1,9,10,5,0.0
10185,PL_Nuclear,2050,1,11,12,6,0.0
10186,PL_Nuclear,2050,1,13,14,7,0.0
10187,PL_Nuclear,2050,1,15,16,8,0.0
10188,PL_Nuclear,2050,1,17,18,9,0.0
10189,PL_Nuclear,2050,1,19,20,10,0.0
10190,PL_Nuclear,2050,1,21,22,11,0.0
10191,PL_Nuclear,2050,1,23,24,12,0.0
10192,PL_Nuclear,2050,2,3,4,2,0.0
10193,PL_Nuclear,2050,2,5,6,3,0.0
10194,PL_Nuclear,2050,2,7,8,4,0.0
10195,PL_Nuclear,2050,2,9,10,5,0.0
10196,PL_Nuclear,2050,2,11,12,6,0.0
10197,PL_Nuclear,2050,2,13,14,7,0.0
10198,PL_Nuclear,2050,2,15,16,8,0.0
10199,PL_Nuclear,2050,2,17,18,9,0.0
10200,PL_Nuclear,2050,2,19,20,10,0.0
10201,PL_Nuclear,2050,2,21,22,11,0.0
10202,PL_Nuclear,2050,2,23,24,12,0.0
10203,PL_Nuclear,2050,3,3,4,2,0.0
10204,PL_Nuclear,2050,3,5,6,3,0.0
10205,PL_Nuclear,2050,3,7,8,4,0.0
10206,PL_Nuclear,2050,3,9,10,5,0.0
10207,PL_Nuclear,2050,3,11,12,6,0.0
10208,PL_Nuclear,2050,3,13,14,7,0.0
10209,PL_Nuclear,2050,3,15,16,8,0.0
10210,PL_Nuclear,2050,3,17,18,9,0.0
10211,PL_Nuclear,2050,3,19,20,10,0.0
10212,PL_Nuclear,2050,3,21,22,11,0.0
10213,PL_Nuclear,2050,3,23,24,12,0.0
10214,PL_Nuclear,2050,4,3,4,2,0.0
10215,PL_Nuclear,2050,4,5,6,3,0.0
10216,PL_Nuclear,2050,4,7,8,4,0.0
10217,PL_Nuclear,2050,4,9,10,5,0.0
10218,PL_Nuclear,2050,4,11,12,6,0.0
10219,PL_Nuclear,2050,4,13,14,7,0.0
10220,PL_Nuclear,2050,4,15,16,8,0.0
10221,PL_Nuclear,2050,4,17,18,9,0.0
10222,PL_Nuclear,2050,4,19,20,10,0.0
10223,PL_Nuclear,2050,4,21,22,11,0.0
10224,PL_Nuclear,2050,4,23,24,12,0.0
10225,PL_Nuclear,2050,5,3,4,2,0.0
10226,PL_Nuclear,2050,5,5,6,3,0.0
10227,PL_Nuclear,2050,5,7,8,4,0.0
10228,PL_Nuclear,2050,5,9,10,5,0.0
10229,PL_Nuclear,2050,5,11,12,6,0.0
10230,PL_Nuclear,2050,5,13,14,7,0.0
10231,PL_Nuclear,2050,5,15,16,8,0.0
10232,PL_Nuclear,2050,5,17,18,9,0.0
10233,PL_Nuclear,2050,5,19,20,10,0.0
10234,PL_Nuclear,2050,5,21,22,11,0.0
10235,PL_Nuclear,2050,5,23,24,12,0.0
10236,PL_Nuclear,2050,6,3,4,2,0.0
10237,PL_Nuclear,2050,6,5,6,3,0.0
