id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
12393,HR_Coal,2030,9,20,20,20,0.0
12394,HR_Coal,2030,9,21,21,21,0.0
12395,HR_Coal,2030,9,22,22,22,0.0
12396,HR_Coal,2030,9,23,23,23,0.0
12397,HR_Coal,2030,9,24,24,24,0.0
12398,HR_Coal,2030,10,2,2,2,0.0
12399,HR_Coal,2030,10,3,3,3,0.0
12400,HR_Coal,2030,10,4,4,4,0.0
12401,HR_Coal,2030,10,5,5,5,0.0
12402,HR_Coal,2030,10,6,6,6,0.0
12403,HR_Coal,2030,10,7,7,7,0.0
12404,HR_Coal,2030,10,8,8,8,0.0
12405,HR_Coal,2030,10,9,9,9,0.0
12406,HR_Coal,2030,10,10,10,10,0.0
12407,HR_Coal,2030,10,11,11,11,0.0
12408,HR_Coal,2030,10,12,12,12,0.0
12409,HR_Coal,2030,10,13,13,13,0.0
12410,HR_Coal,2030,10,14,14,14,0.0
12411,HR_Coal,2030,10,15,15,15,0.0
12412,HR_Coal,2030,10,16,16,16,0.0
12413,HR_Coal,2030,10,17,17,17,0.0
12414,HR_Coal,2030,10,18,18,18,0.0
12415,HR_Coal,2030,10,19,19,19,0.0
12416,HR_Coal,2030,10,20,20,20,0.0
12417,HR_Coal,2030,10,21,21,21,0.0
12418,HR_Coal,2030,10,22,22,22,0.0
12419,HR_Coal,2030,10,23,23,23,0.0
12420,HR_Coal,2030,10,24,24,24,0.0
12421,HR_Nuclear,2030,1,2,2,2,0.0
12422,HR_Nuclear,2030,1,3,3,3,0.0
12423,HR_Nuclear,2030,1,4,4,4,0.0
12424,HR_Nuclear,2030,1,5,5,5,0.0
12425,HR_Nuclear,2030,1,6,6,6,0.0
12426,HR_Nuclear,2030,1,7,7,7,0.0
12427,HR_Nuclear,2030,1,8,8,8,0.0
12428,HR_Nuclear,2030,1,9,9,9,0.0
12429,HR_Nuclear,2030,1,10,10,10,0.0
12430,HR_Nuclear,2030,1,11,11,11,0.0
12431,HR_Nuclear,2030,1,12,12,12,0.0
12432,HR_Nuclear,2030,1,13,13,13,0.0
12433,HR_Nuclear,2030,1,14,14,14,0.0
12434,HR_Nuclear,2030,1,15,15,15,0.0
12435,HR_Nuclear,2030,1,16,16,16,0.0
12436,HR_Nuclear,2030,1,17,17,17,0.0
12437,HR_Nuclear,2030,1,18,18,18,0.0
