id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
263,BG_CCGT,2050,8,11,15,3,0.0
264,BG_CCGT,2050,8,16,24,4,0.0
265,BG_CCGT,2050,9,6,10,2,0.0
266,BG_CCGT,2050,9,11,15,3,0.0
267,BG_CCGT,2050,9,16,24,4,0.0
268,BG_CCGT,2050,10,6,10,2,0.0
269,BG_CCGT,2050,10,11,15,3,0.0
270,BG_CCGT,2050,10,16,24,4,0.0
271,BG_Coal,2050,1,6,10,2,0.0
272,BG_Coal,2050,1,11,15,3,0.0
273,BG_Coal,2050,1,16,24,4,0.0
274,BG_Coal,2050,2,6,10,2,0.0
275,BG_Coal,2050,2,11,15,3,0.0
276,BG_Coal,2050,2,16,24,4,0.0
277,BG_Coal,2050,3,6,10,2,0.0
278,BG_Coal,2050,3,11,15,3,0.0
279,BG_Coal,2050,3,16,24,4,0.0
280,BG_Coal,2050,4,6,10,2,0.0
281,BG_Coal,2050,4,11,15,3,0.0
282,BG_Coal,2050,4,16,24,4,0.0
283,BG_Coal,2050,5,6,10,2,0.0
284,BG_Coal,2050,5,11,15,3,0.0
285,BG_Coal,2050,5,16,24,4,0.0
286,BG_Coal,2050,6,6,10,2,0.0
287,BG_Coal,2050,6,11,15,3,0.0
288,BG_Coal,2050,6,16,24,4,0.0
289,BG_Coal,2050,7,6,10,2,0.0
290,BG_Coal,2050,7,11,15,3,0.0
291,BG_Coal,2050,7,16,24,4,0.0
292,BG_Coal,2050,8,6,10,2,0.0
293,BG_Coal,2050,8,11,15,3,0.0
294,BG_Coal,2050,8,16,24,4,0.0
295,BG_Coal,2050,9,6,10,2,0.0
296,BG_Coal,2050,9,11,15,3,0.0
297,BG_Coal,2050,9,16,24,4,0.0
298,BG_Coal,2050,10,6,10,2,0.0
299,BG_Coal,2050,10,11,15,3,0.0
300,BG_Coal,2050,10,16,24,4,0.0
301,BG_Nuclear,2050,1,6,10,2,0.0
302,BG_Nuclear,2050,1,11,15,3,0.0
303,BG_Nuclear,2050,1,16,24,4,0.0
304,BG_Nuclear,2050,2,6,10,2,0.0
305,BG_Nuclear,2050,2,11,15,3,0.0
306,BG_Nuclear,2050,2,16,24,4,0.0
307,BG_Nuclear,2050,3,6,10,2,0.0
308,BG_Nuclear,2050,3,11,15,3,0.0
309,BG_Nuclear,2050,3,16,24,4,0.0
310,BG_Nuclear,2050,4,6,10,2,0.0
311,BG_Nuclear,2050,4,11,15,3,0.0
312,BG_Nuclear,2050,4,16,24,4,0.0
313,BG_Nuclear,2050,5,6,10,2,0.0
314,BG_Nuclear,2050,5,11,15,3,0.0
315,BG_Nuclear,2050,5,16,24,4,0.0
316,BG_Nuclear,2050,6,6,10,2,0.0
317,BG_Nuclear,2050,6,11,15,3,0.0
318,BG_Nuclear,2050,6,16,24,4,0.0
319,BG_Nuclear,2050,7,6,10,2,0.0
320,BG_Nuclear,2050,7,11,15,3,0.0
