id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
162,AT_Nuclear,2030,4,4,6,2,0.0
163,AT_Nuclear,2030,4,7,9,3,0.0
164,AT_Nuclear,2030,4,10,12,4,0.0
165,AT_Nuclear,2030,4,13,15,5,0.0
166,AT_Nuclear,2030,4,16,18,6,0.0
167,AT_Nuclear,2030,4,19,21,7,0.0
168,AT_Nuclear,2030,4,22,24,8,0.0
169,AT_Nuclear,2030,5,4,6,2,0.0
170,AT_Nuclear,2030,5,7,9,3,0.0
171,AT_Nuclear,2030,5,10,12,4,0.0
172,AT_Nuclear,2030,5,13,15,5,0.0
173,AT_Nuclear,2030,5,16,18,6,0.0
174,AT_Nuclear,2030,5,19,21,7,0.0
175,AT_Nuclear,2030,5,22,24,8,0.0
176,AT_Nuclear,2030,6,4,6,2,0.0
177,AT_Nuclear,2030,6,7,9,3,0.0
178,AT_Nuclear,2030,6,10,12,4,0.0
179,AT_Nuclear,2030,6,13,15,5,0.0
180,AT_Nuclear,2030,6,16,18,6,0.0
181,AT_Nuclear,2030,6,19,21,7,0.0
182,AT_Nuclear,2030,6,22,24,8,0.0
183,AT_Nuclear,2030,7,4,6,2,0.0
184,AT_Nuclear,2030,7,7,9,3,0.0
185,AT_Nuclear,2030,7,10,12,4,0.0
186,AT_Nuclear,2030,7,13,15,5,0.0
187,AT_Nuclear,2030,7,16,18,6,0.0
188,AT_Nuclear,2030,7,19,21,7,0.0
189,AT_Nuclear,2030,7,22,24,8,0.0
190,AT_Nuclear,2030,8,4,6,2,0.0
191,AT_Nuclear,2030,8,7,9,3,0.0
192,AT_Nuclear,2030,8,10,12,4,0.0
193,AT_Nuclear,2030,8,13,15,5,0.0
194,AT_Nuclear,2030,8,16,18,6,0.0
195,AT_Nuclear,2030,8,19,21,7,0.0
196,AT_Nuclear,2030,8,22,24,8,0.0
197,AT_Nuclear,2030,9,4,6,2,0.0
198,AT_Nuclear,2030,9,7,9,3,0.0
199,AT_Nuclear,2030,9,10,12,4,0.0
200,AT_Nuclear,2030,9,13,15,5,0.0
201,AT_Nuclear,2030,9,16,18,6,0.0
202,AT_Nuclear,2030,9,19,21,7,0.0
203,AT_Nuclear,2030,9,22,24,8,0.0
204,AT_Nuclear,2030,10,4,6,2,0.0
