asset,commission_year,fixed_cost,fixed_cost_storage_energy,investment_cost,investment_cost_storage_energy,investment_limit,investment_limit_storage_energy,storage_loss_from_stored_energy
LV_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
LV_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
LV_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
LV_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
EE_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
EE_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
EE_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
EE_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
EE_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
EE_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
EE_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
EE_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
MT_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
MT_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
MT_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
MT_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
MT_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
MT_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
MT_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
MT_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
CY_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
CY_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
CY_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
CY_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
CY_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
CY_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
CY_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
CY_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
BG_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
BG_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
BG_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
BG_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
BG_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
BG_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
BG_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
BG_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
