commission_year,efficiency,fixed_cost,flow_coefficient_in_capacity_constraint,from_asset,investment_cost,investment_limit,to_asset
2050,1.0,0.0,1.0,HR_Balance,0,,HR_E_Demand
2050,1.0,0.0,1.0,HR_Solar,0,,HR_Balance
2050,1.0,0.0,1.0,HR_Wind_Onshore,0,,HR_Balance
2050,1.0,0.0,1.0,HR_Wind_Offshore,0,,HR_Balance
2050,1.0,0.0,1.0,HR_Coal,0,,HR_Balance
2050,1.0,0.0,1.0,HR_Nuclear,0,,HR_Balance
2050,1.0,0.0,1.0,HR_CCGT,0,,HR_Balance
2050,1.0,0.0,1.0,HR_OCGT,0,,HR_Balance
2050,1.0,0.0,1.0,HR_Battery,0,,HR_Balance
2050,1.0,0.0,1.0,HR_Balance,0,,HR_Battery
2050,1.0,0.0,1.0,RO_Balance,0,,RO_E_Demand
2050,1.0,0.0,1.0,RO_Solar,0,,RO_Balance
2050,1.0,0.0,1.0,RO_Wind_Onshore,0,,RO_Balance
2050,1.0,0.0,1.0,RO_Wind_Offshore,0,,RO_Balance
2050,1.0,0.0,1.0,RO_Coal,0,,RO_Balance
2050,1.0,0.0,1.0,RO_Nuclear,0,,RO_Balance
2050,1.0,0.0,1.0,RO_CCGT,0,,RO_Balance
2050,1.0,0.0,1.0,RO_OCGT,0,,RO_Balance
2050,1.0,0.0,1.0,RO_Battery,0,,RO_Balance
2050,1.0,0.0,1.0,RO_Balance,0,,RO_Battery
2050,1.0,0.0,1.0,GR_Balance,0,,GR_E_Demand
2050,1.0,0.0,1.0,GR_Solar,0,,GR_Balance
2050,1.0,0.0,1.0,GR_Wind_Onshore,0,,GR_Balance
2050,1.0,0.0,1.0,GR_Wind_Offshore,0,,GR_Balance
2050,1.0,0.0,1.0,GR_Coal,0,,GR_Balance
2050,1.0,0.0,1.0,GR_Nuclear,0,,GR_Balance
2050,1.0,0.0,1.0,GR_CCGT,0,,GR_Balance
2050,1.0,0.0,1.0,GR_OCGT,0,,GR_Balance
2050,1.0,0.0,1.0,GR_Battery,0,,GR_Balance
2050,1.0,0.0,1.0,GR_Balance,0,,GR_Battery
2050,1.0,0.0,1.0,LV_Balance,0,,LV_E_Demand
2050,1.0,0.0,1.0,LV_Solar,0,,LV_Balance
2050,1.0,0.0,1.0,LV_Wind_Onshore,0,,LV_Balance
2050,1.0,0.0,1.0,LV_Wind_Offshore,0,,LV_Balance
2050,1.0,0.0,1.0,LV_Coal,0,,LV_Balance
2050,1.0,0.0,1.0,LV_Nuclear,0,,LV_Balance
2050,1.0,0.0,1.0,LV_CCGT,0,,LV_Balance
2050,1.0,0.0,1.0,LV_OCGT,0,,LV_Balance
2050,1.0,0.0,1.0,LV_Battery,0,,LV_Balance
2050,1.0,0.0,1.0,LV_Balance,0,,LV_Battery
2050,1.0,0.0,1.0,EE_Balance,0,,EE_E_Demand
2050,1.0,0.0,1.0,EE_Solar,0,,EE_Balance
2050,1.0,0.0,1.0,EE_Wind_Onshore,0,,EE_Balance
2050,1.0,0.0,1.0,EE_Wind_Offshore,0,,EE_Balance
2050,1.0,0.0,1.0,EE_Coal,0,,EE_Balance
2050,1.0,0.0,1.0,EE_Nuclear,0,,EE_Balance
2050,1.0,0.0,1.0,EE_CCGT,0,,EE_Balance
2050,1.0,0.0,1.0,EE_OCGT,0,,EE_Balance
2050,1.0,0.0,1.0,EE_Battery,0,,EE_Balance
2050,1.0,0.0,1.0,EE_Balance,0,,EE_Battery
2050,1.0,0.0,1.0,MT_Balance,0,,MT_E_Demand
2050,1.0,0.0,1.0,MT_Solar,0,,MT_Balance
2050,1.0,0.0,1.0,MT_Wind_Onshore,0,,MT_Balance
2050,1.0,0.0,1.0,MT_Wind_Offshore,0,,MT_Balance
2050,1.0,0.0,1.0,MT_Coal,0,,MT_Balance
2050,1.0,0.0,1.0,MT_Nuclear,0,,MT_Balance
2050,1.0,0.0,1.0,MT_CCGT,0,,MT_Balance
2050,1.0,0.0,1.0,MT_OCGT,0,,MT_Balance
2050,1.0,0.0,1.0,MT_Battery,0,,MT_Balance
2050,1.0,0.0,1.0,MT_Balance,0,,MT_Battery
2050,1.0,0.0,1.0,CY_Balance,0,,CY_E_Demand
2050,1.0,0.0,1.0,CY_Solar,0,,CY_Balance
2050,1.0,0.0,1.0,CY_Wind_Onshore,0,,CY_Balance
2050,1.0,0.0,1.0,CY_Wind_Offshore,0,,CY_Balance
2050,1.0,0.0,1.0,CY_Coal,0,,CY_Balance
2050,1.0,0.0,1.0,CY_Nuclear,0,,CY_Balance
2050,1.0,0.0,1.0,CY_CCGT,0,,CY_Balance
2050,1.0,0.0,1.0,CY_OCGT,0,,CY_Balance
2050,1.0,0.0,1.0,CY_Battery,0,,CY_Balance
2050,1.0,0.0,1.0,CY_Balance,0,,CY_Battery
2050,1.0,0.0,1.0,BG_Balance,0,,BG_E_Demand
2050,1.0,0.0,1.0,BG_Solar,0,,BG_Balance
2050,1.0,0.0,1.0,BG_Wind_Onshore,0,,BG_Balance
2050,1.0,0.0,1.0,BG_Wind_Offshore,0,,BG_Balance
2050,1.0,0.0,1.0,BG_Coal,0,,BG_Balance
2050,1.0,0.0,1.0,BG_Nuclear,0,,BG_Balance
2050,1.0,0.0,1.0,BG_CCGT,0,,BG_Balance
2050,1.0,0.0,1.0,BG_OCGT,0,,BG_Balance
2050,1.0,0.0,1.0,BG_Battery,0,,BG_Balance
2050,1.0,0.0,1.0,BG_Balance,0,,BG_Battery
2050,1.0,0.0,1.0,NL_Balance,1,,DK_Balance
2050,1.0,0.0,1.0,NL_Balance,1,,UK_Balance
2050,1.0,0.0,1.0,NL_Balance,1,,BE_Balance
2050,1.0,0.0,1.0,NL_Balance,1,,NO_Balance
2050,1.0,0.0,1.0,NL_Balance,1,,DE_Balance
2050,1.0,0.0,1.0,BE_Balance,1,,UK_Balance
2050,1.0,0.0,1.0,BE_Balance,1,,FR_Balance
2050,1.0,0.0,1.0,BE_Balance,1,,LU_Balance
2050,1.0,0.0,1.0,BE_Balance,1,,DE_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,CZ_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,DK_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,AT_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,PL_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,NO_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,LU_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,FR_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,SE_Balance
2050,1.0,0.0,1.0,DE_Balance,1,,CH_Balance
2050,1.0,0.0,1.0,FR_Balance,1,,UK_Balance
2050,1.0,0.0,1.0,FR_Balance,1,,LU_Balance
2050,1.0,0.0,1.0,FR_Balance,1,,ES_Balance
2050,1.0,0.0,1.0,FR_Balance,1,,IE_Balance
2050,1.0,0.0,1.0,FR_Balance,1,,IT_Balance
2050,1.0,0.0,1.0,FR_Balance,1,,CH_Balance
2050,1.0,0.0,1.0,CH_Balance,1,,AT_Balance
2050,1.0,0.0,1.0,CH_Balance,1,,IT_Balance
2050,1.0,0.0,1.0,UK_Balance,1,,IE_Balance
2050,1.0,0.0,1.0,UK_Balance,1,,DK_Balance
2050,1.0,0.0,1.0,UK_Balance,1,,NO_Balance
2050,1.0,0.0,1.0,DK_Balance,1,,PL_Balance
2050,1.0,0.0,1.0,DK_Balance,1,,NO_Balance
2050,1.0,0.0,1.0,DK_Balance,1,,SE_Balance
2050,1.0,0.0,1.0,NO_Balance,1,,SE_Balance
2050,1.0,0.0,1.0,SE_Balance,1,,FI_Balance
2050,1.0,0.0,1.0,SE_Balance,1,,PL_Balance
2050,1.0,0.0,1.0,SE_Balance,1,,LT_Balance
2050,1.0,0.0,1.0,AT_Balance,1,,CZ_Balance
2050,1.0,0.0,1.0,AT_Balance,1,,IT_Balance
2050,1.0,0.0,1.0,AT_Balance,1,,SI_Balance
2050,1.0,0.0,1.0,AT_Balance,1,,HU_Balance
2050,1.0,0.0,1.0,CZ_Balance,1,,PL_Balance
2050,1.0,0.0,1.0,CZ_Balance,1,,SK_Balance
2050,1.0,0.0,1.0,PL_Balance,1,,SK_Balance
2050,1.0,0.0,1.0,PL_Balance,1,,LT_Balance
2050,1.0,0.0,1.0,ES_Balance,1,,PT_Balance
2050,1.0,0.0,1.0,IT_Balance,1,,GR_Balance
2050,1.0,0.0,1.0,IT_Balance,1,,SI_Balance
2050,1.0,0.0,1.0,IT_Balance,1,,MT_Balance
2050,1.0,0.0,1.0,LT_Balance,1,,LV_Balance
2050,1.0,0.0,1.0,FI_Balance,1,,EE_Balance
2050,1.0,0.0,1.0,SI_Balance,1,,HR_Balance
2050,1.0,0.0,1.0,SI_Balance,1,,HU_Balance
2050,1.0,0.0,1.0,HU_Balance,1,,HR_Balance
2050,1.0,0.0,1.0,HU_Balance,1,,RO_Balance
2050,1.0,0.0,1.0,HU_Balance,1,,SK_Balance
2050,1.0,0.0,1.0,RO_Balance,1,,BG_Balance
2050,1.0,0.0,1.0,GR_Balance,1,,BG_Balance
2050,1.0,0.0,1.0,GR_Balance,1,,CY_Balance
2050,1.0,0.0,1.0,LV_Balance,1,,EE_Balance
