from_asset,investable,milestone_year,to_asset,variable_cost,dc_opf,reactance
HU_Solar,false,2050,HU_E_Balance,0.0,false,0.3
HU_Hydro,false,2050,HU_E_Balance,0.0,false,0.3
HU_Nuclear,false,2050,HU_E_Balance,0.0115,false,0.3
HU_E_Balance,false,2050,HU_Battery,0.0,false,0.3
HU_Battery,false,2050,HU_E_Balance,0.0,false,0.3
HU_Gas,false,2050,HU_E_Balance,0.079858571,false,0.3
HU_OCGT,false,2050,HU_E_Balance,0.10993,false,0.3
SK_E_Balance,false,2050,SK_E_Demand,0.0,false,0.3
SK_E_ENS,false,2050,SK_E_Demand,1.0,false,0.3
SK_Wind_Onshore,false,2050,SK_E_Balance,0.0,false,0.3
SK_Solar,false,2050,SK_E_Balance,0.0,false,0.3
SK_Hydro,false,2050,SK_E_Balance,0.0,false,0.3
SK_Hydro_Reservoir,false,2050,SK_E_Balance,0.0,false,0.3
SK_Nuclear,false,2050,SK_E_Balance,0.0115,false,0.3
SK_E_Balance,false,2050,SK_Pump_Hydro_Closed,0.0,false,0.3
SK_Pump_Hydro_Closed,false,2050,SK_E_Balance,0.0,false,0.3
SK_E_Balance,false,2050,SK_Pump_Hydro_Open,0.0,false,0.3
SK_Pump_Hydro_Open,false,2050,SK_E_Balance,0.0,false,0.3
SK_Coal,false,2050,SK_E_Balance,0.051035102,false,0.3
SK_Gas,false,2050,SK_E_Balance,0.079858571,false,0.3
LT_E_Balance,false,2050,LT_E_Demand,0.0,false,0.3
LT_E_ENS,false,2050,LT_E_Demand,1.0,false,0.3
LT_Wind_Onshore,false,2050,LT_E_Balance,0.0,false,0.3
LT_Wind_Offshore,false,2050,LT_E_Balance,0.0,false,0.3
LT_Solar,false,2050,LT_E_Balance,0.0,false,0.3
LT_Hydro,false,2050,LT_E_Balance,0.0,false,0.3
LT_E_Balance,false,2050,LT_Battery,0.0,false,0.3
LT_Battery,false,2050,LT_E_Balance,0.0,false,0.3
LT_E_Balance,false,2050,LT_Pump_Hydro_Closed,0.0,false,0.3
LT_Pump_Hydro_Closed,false,2050,LT_E_Balance,0.0,false,0.3
LT_Gas,false,2050,LT_E_Balance,0.079858571,false,0.3
LV_E_Balance,false,2050,LV_E_Demand,0.0,false,0.3
LV_E_ENS,false,2050,LV_E_Demand,1.0,false,0.3
LV_Wind_Onshore,false,2050,LV_E_Balance,0.0,false,0.3
LV_Wind_Offshore,false,2050,LV_E_Balance,0.0,false,0.3
LV_Solar,false,2050,LV_E_Balance,0.0,false,0.3
LV_Hydro,false,2050,LV_E_Balance,0.0,false,0.3
LV_Gas,false,2050,LV_E_Balance,0.079858571,false,0.3
EE_E_Balance,false,2050,EE_E_Demand,0.0,false,0.3
EE_E_ENS,false,2050,EE_E_Demand,1.0,false,0.3
EE_Wind_Onshore,false,2050,EE_E_Balance,0.0,false,0.3
EE_Wind_Offshore,false,2050,EE_E_Balance,0.0,false,0.3
EE_Solar,false,2050,EE_E_Balance,0.0,false,0.3
FI_E_Balance,false,2050,FI_E_Demand,0.0,false,0.3
FI_E_ENS,false,2050,FI_E_Demand,1.0,false,0.3
FI_Wind_Onshore,false,2050,FI_E_Balance,0.0,false,0.3
FI_Wind_Offshore,false,2050,FI_E_Balance,0.0,false,0.3
FI_Solar,false,2050,FI_E_Balance,0.0,false,0.3
FI_Hydro_Reservoir,false,2050,FI_E_Balance,0.0,false,0.3
FI_Nuclear,false,2050,FI_E_Balance,0.0115,false,0.3
FI_E_Balance,false,2050,FI_Battery,0.0,false,0.3
FI_Battery,false,2050,FI_E_Balance,0.0,false,0.3
FI_Gas,false,2050,FI_E_Balance,0.079858571,false,0.3
FI_OCGT,false,2050,FI_E_Balance,0.10993,false,0.3
HR_E_Balance,false,2050,HR_E_Demand,0.0,false,0.3
HR_E_ENS,false,2050,HR_E_Demand,1.0,false,0.3
HR_Wind_Onshore,false,2050,HR_E_Balance,0.0,false,0.3
HR_Wind_Offshore,false,2050,HR_E_Balance,0.0,false,0.3
HR_Solar,false,2050,HR_E_Balance,0.0,false,0.3
HR_Hydro,false,2050,HR_E_Balance,0.0,false,0.3
HR_Hydro_Reservoir,false,2050,HR_E_Balance,0.0,false,0.3
HR_E_Balance,false,2050,HR_Battery,0.0,false,0.3
HR_Battery,false,2050,HR_E_Balance,0.0,false,0.3
HR_E_Balance,false,2050,HR_Pump_Hydro_Open,0.0,false,0.3
HR_Pump_Hydro_Open,false,2050,HR_E_Balance,0.0,false,0.3
HR_Coal,false,2050,HR_E_Balance,0.051035102,false,0.3
HR_Gas,false,2050,HR_E_Balance,0.079858571,false,0.3
GR_E_Balance,false,2050,GR_E_Demand,0.0,false,0.3
GR_E_ENS,false,2050,GR_E_Demand,1.0,false,0.3
GR_Wind_Onshore,false,2050,GR_E_Balance,0.0,false,0.3
GR_Wind_Offshore,false,2050,GR_E_Balance,0.0,false,0.3
GR_Solar,false,2050,GR_E_Balance,0.0,false,0.3
GR_Hydro,false,2050,GR_E_Balance,0.0,false,0.3
GR_Hydro_Reservoir,false,2050,GR_E_Balance,0.0,false,0.3
GR_E_Balance,false,2050,GR_Battery,0.0,false,0.3
GR_Battery,false,2050,GR_E_Balance,0.0,false,0.3
GR_E_Balance,false,2050,GR_Pump_Hydro_Closed,0.0,false,0.3
GR_Pump_Hydro_Closed,false,2050,GR_E_Balance,0.0,false,0.3
GR_E_Balance,false,2050,GR_Pump_Hydro_Open,0.0,false,0.3
GR_Pump_Hydro_Open,false,2050,GR_E_Balance,0.0,false,0.3
GR_Gas,false,2050,GR_E_Balance,0.079858571,false,0.3
GR_OCGT,false,2050,GR_E_Balance,0.10993,false,0.3
BG_E_Balance,false,2050,BG_E_Demand,0.0,false,0.3
BG_E_ENS,false,2050,BG_E_Demand,1.0,false,0.3
BG_Wind_Onshore,false,2050,BG_E_Balance,0.0,false,0.3
BG_Solar,false,2050,BG_E_Balance,0.0,false,0.3
BG_Hydro,false,2050,BG_E_Balance,0.0,false,0.3
BG_Hydro_Reservoir,false,2050,BG_E_Balance,0.0,false,0.3
BG_Nuclear,false,2050,BG_E_Balance,0.0115,false,0.3
BG_E_Balance,false,2050,BG_Pump_Hydro_Closed,0.0,false,0.3
BG_Pump_Hydro_Closed,false,2050,BG_E_Balance,0.0,false,0.3
BG_E_Balance,false,2050,BG_Pump_Hydro_Open,0.0,false,0.3
BG_Pump_Hydro_Open,false,2050,BG_E_Balance,0.0,false,0.3
BG_Coal,false,2050,BG_E_Balance,0.051035102,false,0.3
BG_Gas,false,2050,BG_E_Balance,0.079858571,false,0.3
BG_OCGT,false,2050,BG_E_Balance,0.10993,false,0.3
RO_E_Balance,false,2050,RO_E_Demand,0.0,false,0.3
RO_E_ENS,false,2050,RO_E_Demand,1.0,false,0.3
RO_Wind_Onshore,false,2050,RO_E_Balance,0.0,false,0.3
RO_Wind_Offshore,false,2050,RO_E_Balance,0.0,false,0.3
RO_Solar,false,2050,RO_E_Balance,0.0,false,0.3
RO_Hydro,false,2050,RO_E_Balance,0.0,false,0.3
RO_Hydro_Reservoir,false,2050,RO_E_Balance,0.0,false,0.3
RO_Nuclear,false,2050,RO_E_Balance,0.0115,false,0.3
RO_E_Balance,false,2050,RO_Battery,0.0,false,0.3
RO_Battery,false,2050,RO_E_Balance,0.0,false,0.3
RO_E_Balance,false,2050,RO_Pump_Hydro_Open,0.0,false,0.3
RO_Pump_Hydro_Open,false,2050,RO_E_Balance,0.0,false,0.3
RO_Coal,false,2050,RO_E_Balance,0.051035102,false,0.3
RO_Gas,false,2050,RO_E_Balance,0.079858571,false,0.3
RO_OCGT,false,2050,RO_E_Balance,0.10993,false,0.3
CY_E_Balance,false,2050,CY_E_Demand,0.0,false,0.3
CY_E_ENS,false,2050,CY_E_Demand,1.0,false,0.3
