id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
564,BG_Pump_Hydro_Closed,2050,7,23,24,0.0
565,BG_Pump_Hydro_Closed,2050,8,1,2,0.0
566,BG_Pump_Hydro_Closed,2050,8,3,4,0.0
567,BG_Pump_Hydro_Closed,2050,8,5,6,0.0
568,BG_Pump_Hydro_Closed,2050,8,7,8,-1.09178125
569,BG_Pump_Hydro_Closed,2050,8,9,10,-1.09178125
570,BG_Pump_Hydro_Closed,2050,8,11,12,-1.09178125
571,BG_Pump_Hydro_Closed,2050,8,13,14,-1.09178125
572,BG_Pump_Hydro_Closed,2050,8,15,16,-1.09178125
573,BG_Pump_Hydro_Closed,2050,8,17,18,0.0
574,BG_Pump_Hydro_Closed,2050,8,19,20,0.0
575,BG_Pump_Hydro_Closed,2050,8,21,22,0.0
576,BG_Pump_Hydro_Closed,2050,8,23,24,0.0
577,BG_Pump_Hydro_Closed,2050,9,1,2,0.0
578,BG_Pump_Hydro_Closed,2050,9,3,4,0.0
579,BG_Pump_Hydro_Closed,2050,9,5,6,0.0
580,BG_Pump_Hydro_Closed,2050,9,7,8,0.0
581,BG_Pump_Hydro_Closed,2050,9,9,10,-4.279843749999999
582,BG_Pump_Hydro_Closed,2050,9,11,12,-4.279843749999999
583,BG_Pump_Hydro_Closed,2050,9,13,14,-4.279843749999999
584,BG_Pump_Hydro_Closed,2050,9,15,16,-4.279843749999999
585,BG_Pump_Hydro_Closed,2050,9,17,18,0.0
586,BG_Pump_Hydro_Closed,2050,9,19,20,0.0
587,BG_Pump_Hydro_Closed,2050,9,21,22,0.0
588,BG_Pump_Hydro_Closed,2050,9,23,24,0.0
589,BG_Pump_Hydro_Closed,2050,10,1,2,0.0
590,BG_Pump_Hydro_Closed,2050,10,3,4,0.0
591,BG_Pump_Hydro_Closed,2050,10,5,6,0.0
592,BG_Pump_Hydro_Closed,2050,10,7,8,0.0
593,BG_Pump_Hydro_Closed,2050,10,9,10,0.0
594,BG_Pump_Hydro_Closed,2050,10,11,12,-2.462437500000004
595,BG_Pump_Hydro_Closed,2050,10,13,14,-2.462437500000004
596,BG_Pump_Hydro_Closed,2050,10,15,16,0.0
597,BG_Pump_Hydro_Closed,2050,10,17,18,0.0
598,BG_Pump_Hydro_Closed,2050,10,19,20,0.0
599,BG_Pump_Hydro_Closed,2050,10,21,22,0.0
600,BG_Pump_Hydro_Closed,2050,10,23,24,0.0
601,BG_Pump_Hydro_Open,2050,1,1,2,0.0
602,BG_Pump_Hydro_Open,2050,1,3,4,0.0
603,BG_Pump_Hydro_Open,2050,1,5,6,0.0
604,BG_Pump_Hydro_Open,2050,1,7,8,0.0
605,BG_Pump_Hydro_Open,2050,1,9,10,-5.275156250000004
606,BG_Pump_Hydro_Open,2050,1,11,12,-5.275156250000004
607,BG_Pump_Hydro_Open,2050,1,13,14,-5.275156250000004
608,BG_Pump_Hydro_Open,2050,1,15,16,-5.275156250000004
609,BG_Pump_Hydro_Open,2050,1,17,18,0.0
610,BG_Pump_Hydro_Open,2050,1,19,20,0.0
611,BG_Pump_Hydro_Open,2050,1,21,22,0.0
612,BG_Pump_Hydro_Open,2050,1,23,24,0.0
613,BG_Pump_Hydro_Open,2050,2,1,2,-0.08631250000000068
614,BG_Pump_Hydro_Open,2050,2,3,4,-0.08631250000000068
615,BG_Pump_Hydro_Open,2050,2,5,6,-0.08631250000000068
616,BG_Pump_Hydro_Open,2050,2,7,8,-0.08631250000000068
617,BG_Pump_Hydro_Open,2050,2,9,10,-1.6043125000000007
618,BG_Pump_Hydro_Open,2050,2,11,12,-1.6043125000000007
619,BG_Pump_Hydro_Open,2050,2,13,14,-1.6043125000000007
620,BG_Pump_Hydro_Open,2050,2,15,16,-1.6043125000000007
621,BG_Pump_Hydro_Open,2050,2,17,18,-0.08631250000000068
622,BG_Pump_Hydro_Open,2050,2,19,20,-0.08631250000000068
623,BG_Pump_Hydro_Open,2050,2,21,22,-0.08631250000000068
624,BG_Pump_Hydro_Open,2050,2,23,24,-0.08631250000000068
625,BG_Pump_Hydro_Open,2050,3,1,2,0.0
626,BG_Pump_Hydro_Open,2050,3,3,4,0.0
627,BG_Pump_Hydro_Open,2050,3,5,6,0.0
628,BG_Pump_Hydro_Open,2050,3,7,8,0.0
629,BG_Pump_Hydro_Open,2050,3,9,10,0.0
630,BG_Pump_Hydro_Open,2050,3,11,12,-0.04440624999999976
631,BG_Pump_Hydro_Open,2050,3,13,14,-0.044406249999999314
632,BG_Pump_Hydro_Open,2050,3,15,16,0.0
633,BG_Pump_Hydro_Open,2050,3,17,18,0.0
634,BG_Pump_Hydro_Open,2050,3,19,20,0.0
635,BG_Pump_Hydro_Open,2050,3,21,22,0.0
636,BG_Pump_Hydro_Open,2050,3,23,24,0.0
637,BG_Pump_Hydro_Open,2050,4,1,2,0.0
638,BG_Pump_Hydro_Open,2050,4,3,4,0.0
639,BG_Pump_Hydro_Open,2050,4,5,6,0.0
640,BG_Pump_Hydro_Open,2050,4,7,8,0.0
641,BG_Pump_Hydro_Open,2050,4,9,10,0.0
642,BG_Pump_Hydro_Open,2050,4,11,12,0.0
643,BG_Pump_Hydro_Open,2050,4,13,14,0.0
644,BG_Pump_Hydro_Open,2050,4,15,16,0.0
645,BG_Pump_Hydro_Open,2050,4,17,18,0.0
646,BG_Pump_Hydro_Open,2050,4,19,20,0.0
647,BG_Pump_Hydro_Open,2050,4,21,22,0.0
648,BG_Pump_Hydro_Open,2050,4,23,24,0.0
649,BG_Pump_Hydro_Open,2050,5,1,2,0.0
650,BG_Pump_Hydro_Open,2050,5,3,4,0.0
